anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,769,2023-01-24,17925
2023,453,2023-01-10,3144.96
2023,544,2023-01-13,12141
2023,869,2023-01-30,2354.94
2023,1043,2023-01-31,11802.6
2023,799,2023-01-26,34769
2023,872,2023-01-30,13026.73
2023,865,2023-01-30,22257.52
2023,673,2023-01-20,4384.8
2023,1044,2023-01-31,5058.49
2023,868,2023-01-30,261.95
2023,1057,2023-01-31,3454.5
2023,452,2023-01-10,11366.3
2023,1054,2023-01-31,39470
2023,1055,2023-01-31,32400
2023,871,2023-01-30,29804.7
2023,543,2023-01-13,9200
2023,545,2023-01-13,22198.96
2023,4,2023-01-02,330000
2023,451,2023-01-10,44583.94
2023,662,2023-01-20,24559.5
2023,654,2023-01-19,15090
2023,1042,2023-01-31,8130
2023,1039,2023-01-31,33000
2023,798,2023-01-26,3200
2023,6,2023-01-02,3982500
2023,273,2023-01-02,103192.8
2023,870,2023-01-30,1607.41
2023,1041,2023-01-31,92562.13
2023,447,2023-01-10,50768.31
2023,663,2023-01-20,16315
2023,245,2023-01-02,45826.64
2023,634,2023-01-18,104.13
2023,265,2023-01-02,28800
2023,653,2023-01-19,14796
2023,1064,2023-01-31,174.94
2023,640,2023-01-18,469.56
2023,665,2023-01-20,65000
2023,150,2023-01-02,31107.55
2023,448,2023-01-10,24187.33
2023,151,2023-01-02,98119.35
2023,664,2023-01-20,115000
2023,449,2023-01-10,91032.89
2023,768,2023-01-24,224785.42
2023,240,2023-01-02,4800
2023,135,2023-01-02,62344.22
2023,450,2023-01-10,40480.52
2023,867,2023-01-30,1430.68
2023,1056,2023-01-31,6416.54
2023,1040,2023-01-31,11540.23
2023,808,2023-01-26,30561.7
2023,1210,2023-02-10,27906.5
2023,1402,2023-02-24,9324
2023,1194,2023-02-10,34977.92
2023,1201,2023-02-10,29341.9
2023,1148,2023-02-07,341.3
2023,1204,2023-02-10,19100.48
2023,1215,2023-02-10,2562.39
2023,1213,2023-02-10,1453.8
2023,1195,2023-02-10,23005.97
2023,1282,2023-02-15,25079.62
2023,1203,2023-02-10,9766.66
2023,1207,2023-02-10,4530.82
2023,1273,2023-02-15,1640.41
2023,1205,2023-02-10,45215.2
2023,1266,2023-02-14,1569.59
2023,1270,2023-02-15,447.7
2023,1403,2023-02-24,21137.51
2023,1211,2023-02-10,22244.85
2023,1286,2023-02-15,16080.68
2023,1217,2023-02-10,1762.14
2023,1209,2023-02-10,32680.31
2023,1200,2023-02-10,3171.12
2023,1285,2023-02-15,227.46
2023,1405,2023-02-24,50053
2023,1274,2023-02-15,341.71
2023,1212,2023-02-10,6851.16
2023,1271,2023-02-15,347.95
2023,1208,2023-02-10,2988.87
2023,1067,2023-02-01,406.32
2023,1407,2023-02-24,23128.37
2023,1406,2023-02-24,65453.76
2023,1287,2023-02-15,3400
2023,1206,2023-02-10,17302.85
2023,1214,2023-02-10,3503.05
2023,1401,2023-02-24,23268
2023,1149,2023-02-07,588.7
2023,1283,2023-02-15,5220.64
2023,1275,2023-02-15,250
2023,1199,2023-02-10,23313.87
2023,1216,2023-02-10,459.53
2023,1272,2023-02-15,8814.75
2023,1404,2023-02-24,7234.04
2023,1284,2023-02-15,7851.93
2023,1202,2023-02-10,5731.73
2023,1610,2023-03-03,56145.13
2023,1939,2023-03-21,104.13
2023,1634,2023-03-06,3822
2023,2008,2023-03-27,672.21
2023,1816,2023-03-15,8360
2023,1614,2023-03-03,94642.3
2023,1710,2023-03-09,23301.6
2023,1933,2023-03-21,4140
2023,1749,2023-03-13,2213.8
2023,1713,2023-03-09,9240
2023,2213,2023-03-30,4387.5
2023,2007,2023-03-27,3360.01
2023,1635,2023-03-06,199392
2023,1757,2023-03-13,795.87
