anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,963,2025-01-30,7935.39
2025,1051,2025-01-30,1642.04
2025,1070,2025-01-30,84002.44
2025,907,2025-01-30,19437.61
2025,899,2025-01-30,547.35
2025,937,2025-01-30,144156.83
2025,1080,2025-01-30,550013.41
2025,1826,2025-02-27,589849.54
2025,1805,2025-02-27,34190.12
2025,1668,2025-02-27,21021.68
2025,1672,2025-02-27,7498.81
2025,1183,2025-02-05,1273.28
2025,1178,2025-02-05,1369.27
2025,2336,2025-03-28,11262.85
2025,2416,2025-03-28,19251.26
2025,2353,2025-03-28,4405.86
2025,2355,2025-03-28,94.04
2025,2330,2025-03-28,6733.3
2025,2483,2025-03-28,633033.72
2025,2059,2025-03-11,1428.2
2025,3094,2025-04-29,615964.87
2025,3010,2025-04-29,10682.41
2025,3037,2025-04-29,12077.31
2025,3033,2025-04-29,653.84
2025,3144,2025-04-29,17089.56
2025,3727,2025-05-29,1726.7
2025,3710,2025-05-29,18565.51
2025,3667,2025-05-29,42745.55
2025,3795,2025-05-29,16535.43
2025,3785,2025-05-29,555655.81
2025,4482,2025-06-26,8106.41
2025,4510,2025-06-26,48606.53
2025,4433,2025-06-26,30700.89
2025,4387,2025-06-26,45540.68
2025,4559,2025-06-26,545824.48
2025,4466,2025-06-26,202.1
2025,4401,2025-06-26,2079.64
2025,5276,2025-07-30,563885.47
2025,5310,2025-07-30,29170.85
2025,5153,2025-07-30,24864.91
2025,4770,2025-07-10,263592.23
2025,5364,2025-07-31,8501.2
2025,5801,2025-08-28,435.16
2025,5922,2025-08-28,575234.58
2025,5887,2025-08-28,22946.78
2025,5796,2025-08-28,5268.77
2025,5778,2025-08-28,16538.43
2025,5797,2025-08-28,1192.64
2025,6446,2025-09-29,26756.96
2025,6555,2025-09-29,580510.14
2025,5994,2025-09-02,1208.16
2025,6565,2025-09-29,24396.77
2025,7199,2025-10-30,586281.39
2025,7053,2025-10-30,1644.26
2025,7050,2025-10-30,33375.32
2025,6713,2025-10-10,2578.31
2025,7103,2025-10-30,23725.88
2025,7027,2025-10-30,1081.06
2025,7720,2025-11-27,7265.79
2025,7702,2025-11-27,565708.53
2025,7582,2025-11-27,27690.68
2025,8213,2025-12-18,35059.99
2025,8072,2025-12-18,133923.62
2025,7935,2025-12-10,314107.37
2025,7923,2025-12-10,196.44
2025,7966,2025-12-10,1208.54
2025,8188,2025-12-18,553234.5
