anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,14,2025-01-02,50000
2025,727,2025-01-28,3000
2025,603,2025-01-22,4506.72
2025,376,2025-01-14,5013.91
2025,740,2025-01-28,500
2025,21,2025-01-02,20000
2025,625,2025-01-22,5000
2025,615,2025-01-22,59158.08
2025,213,2025-01-08,10000
2025,362,2025-01-14,8725.67
2025,218,2025-01-08,10000
2025,384,2025-01-14,18116.13
2025,635,2025-01-22,5000
2025,1250,2025-02-20,1011.65
2025,1360,2025-02-25,7194.54
2025,1551,2025-02-28,12003.27
2025,1233,2025-02-20,224.55
2025,1509,2025-02-27,235.9
2025,1242,2025-02-20,1671.45
2025,1016,2025-02-06,12342.55
2025,1264,2025-02-20,2297.42
2025,1259,2025-02-20,10000
2025,1327,2025-02-24,710
2025,1241,2025-02-20,2000
2025,1212,2025-02-20,3800.05
2025,1318,2025-02-24,417.85
2025,1412,2025-02-27,349
2025,1235,2025-02-20,450
2025,1232,2025-02-20,654
2025,1526,2025-02-27,6107.5
2025,1286,2025-02-21,545
2025,1245,2025-02-20,750
2025,1713,2025-03-13,8838.73
2025,1787,2025-03-17,18693.33
2025,1708,2025-03-13,13230
2025,2068,2025-03-28,117.95
2025,1736,2025-03-13,225.5
2025,1728,2025-03-13,1124.03
2025,1621,2025-03-06,16596
2025,1615,2025-03-06,2984
2025,1627,2025-03-06,1074.5
2025,1721,2025-03-13,624.5
2025,2570,2025-04-29,582.5
2025,2215,2025-04-07,68.13
2025,2223,2025-04-07,492.15
2025,2172,2025-04-04,559.97
2025,2290,2025-04-11,523.5
2025,2429,2025-04-25,523.5
2025,2208,2025-04-07,1358.15
2025,2673,2025-05-06,1091.64
2025,3113,2025-05-29,363.43
2025,2679,2025-05-06,280.03
2025,2703,2025-05-06,814.25
2025,2685,2025-05-06,999.95
2025,3582,2025-06-26,363.43
2025,3181,2025-06-04,10000
2025,3207,2025-06-05,418.8
2025,3376,2025-06-18,401.35
2025,4065,2025-07-29,314.1
2025,3969,2025-07-18,800
2025,3794,2025-07-09,10000
2025,4089,2025-07-29,1000
2025,3963,2025-07-18,2000
2025,3798,2025-07-09,10000
2025,4533,2025-08-21,5502.3
2025,4617,2025-08-27,10000
2025,4538,2025-08-21,497.7
2025,4798,2025-09-03,1400
2025,4941,2025-09-10,820.15
2025,5039,2025-09-16,3000
2025,4808,2025-09-03,1500
2025,5499,2025-10-15,20000
2025,5744,2025-10-29,1000
2025,5737,2025-10-29,500
2025,5794,2025-10-30,2500
2025,5662,2025-10-23,383.9
2025,5787,2025-10-30,3537.1
2025,5784,2025-10-30,112.9
2025,6341,2025-11-26,200
2025,6276,2025-11-19,5000
