anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,130,2026-01-02,5000
2026,582,2026-01-14,4186.4
2026,34,2026-01-02,10000
2026,579,2026-01-14,1480.71
2026,170,2026-01-02,20000
2026,301,2026-01-02,19306.75
2026,50,2026-01-02,1000
2026,233,2026-01-02,100000
2026,581,2026-01-14,3100.8
2026,580,2026-01-14,136.37
2026,739,2026-01-19,67200
2026,93,2026-01-02,20885.41
2026,1608,2026-02-26,3406.84
2026,1909,2026-03-11,155
2026,1952,2026-03-13,23078.01
2026,2263,2026-03-30,10230
2026,1968,2026-03-16,67697.46
2026,1966,2026-03-16,70804.36
2026,1967,2026-03-16,2684.99
2026,1908,2026-03-11,310
2026,1782,2026-03-04,4450
2026,1984,2026-03-17,197.5
2026,2632,2026-04-06,5000
2026,2883,2026-04-15,132.81
2026,2875,2026-04-15,33708
2026,2631,2026-04-06,5000
