anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,687,2023-02-02,46814
2023,2308,2023-06-12,3000
2023,2406,2023-06-16,18000
2023,2319,2023-06-13,6362
2023,2305,2023-06-12,42850
2023,2306,2023-06-12,8700
2023,2298,2023-06-12,1200
2023,2310,2023-06-12,22230
2023,2304,2023-06-12,47600
2023,2311,2023-06-12,76170
2023,2307,2023-06-12,12987
2023,2407,2023-06-16,25500
2023,2409,2023-06-16,17929
2023,2408,2023-06-16,3219
2023,2309,2023-06-12,2460
2023,4024,2023-10-20,1246022.88
2023,4422,2023-11-20,56219.19
2023,4546,2023-11-27,1246022.88
