anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,148,2025-01-30,1908.84
2025,157,2025-01-30,21515.1
2025,159,2025-01-30,5512.78
2025,156,2025-01-30,18652.71
2025,4,2025-01-02,200000
2025,158,2025-01-30,165893.03
2025,149,2025-01-30,14069.75
2025,144,2025-01-30,6126.76
2025,224,2025-02-27,8958.08
2025,218,2025-02-27,1622.5
2025,230,2025-02-27,164466.99
2025,222,2025-02-27,8.67
2025,231,2025-02-27,27046.83
2025,215,2025-02-27,2169.73
2025,217,2025-02-27,1987.61
2025,223,2025-02-27,9237.88
2025,269,2025-03-28,165746.51
2025,268,2025-03-28,6181.77
2025,263,2025-03-28,7634.69
2025,271,2025-03-28,1351.35
2025,270,2025-03-28,27799.35
2025,320,2025-04-29,8221.96
2025,321,2025-04-29,193919.31
2025,323,2025-04-29,32970.81
2025,312,2025-04-29,10518.19
2025,351,2025-05-29,3215.49
2025,357,2025-05-29,7569.28
2025,354,2025-05-29,1819.6
2025,353,2025-05-29,573.28
2025,363,2025-05-29,31981.6
2025,360,2025-05-29,172239.4
2025,355,2025-05-29,3385.03
2025,408,2025-06-26,180114.93
2025,409,2025-06-26,1719.85
2025,407,2025-06-26,5756.22
2025,377,2025-06-12,5.63
2025,394,2025-06-26,778.83
2025,415,2025-06-26,29938
2025,392,2025-06-26,9723.42
2025,398,2025-06-26,1916.63
2025,402,2025-06-26,6239.33
2025,445,2025-07-10,89898.35
2025,487,2025-07-30,387.6
2025,490,2025-07-30,7781.91
2025,492,2025-07-30,183318.62
2025,493,2025-07-30,33225.17
2025,486,2025-07-30,15050.22
2025,444,2025-07-10,15979.59
2025,425,2025-07-02,5.63
2025,545,2025-08-28,1162.8
2025,538,2025-08-28,4630.61
2025,554,2025-08-28,30483.7
2025,501,2025-08-04,5.63
2025,548,2025-08-28,174003.26
2025,553,2025-08-28,14430.34
2025,571,2025-09-04,5.63
2025,563,2025-09-02,634.79
2025,598,2025-09-29,600.5
2025,591,2025-09-29,3995.38
2025,600,2025-09-29,32263.66
2025,593,2025-09-29,630.96
2025,590,2025-09-29,4114.47
2025,594,2025-09-29,1117.52
2025,599,2025-09-29,189841.7
2025,595,2025-09-29,549.6
2025,614,2025-10-03,5.63
2025,667,2025-10-30,3868.47
2025,665,2025-10-30,9578.05
2025,668,2025-10-30,28153.71
2025,666,2025-10-30,181841.13
2025,662,2025-10-30,12306.55
2025,663,2025-10-30,3070.36
2025,732,2025-11-27,4018.86
2025,685,2025-11-03,5.63
2025,746,2025-11-27,191994.66
2025,748,2025-11-27,3955.15
2025,744,2025-11-27,13157.52
2025,730,2025-11-27,9745.41
2025,749,2025-11-27,28111.87
2025,799,2025-12-18,626.63
2025,813,2025-12-18,185811
2025,823,2025-12-26,5.63
2025,802,2025-12-18,1773.2
2025,814,2025-12-18,927.45
2025,801,2025-12-18,6043.31
2025,818,2025-12-18,9250.77
2025,786,2025-12-10,16339.55
2025,776,2025-12-05,5.63
2025,784,2025-12-10,93939.36
2025,809,2025-12-18,30905.24
2025,796,2025-12-16,5.63
2025,803,2025-12-18,26404.89
