anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,990,2025-01-30,54025.79
2025,996,2025-01-30,1483.76
2025,1734,2025-02-27,59388.52
2025,2392,2025-03-28,86940.19
2025,3057,2025-04-29,59241.72
2025,3742,2025-05-29,66659.25
2025,4486,2025-06-26,66995.44
2025,4276,2025-06-26,3428.86
2025,4264,2025-06-26,2179.9
2025,4308,2025-06-26,3874.17
2025,4266,2025-06-26,1300.53
2025,4290,2025-06-26,3519.24
2025,5200,2025-07-30,66665.44
2025,4744,2025-07-10,33421.95
2025,5817,2025-08-28,67128.92
2025,6503,2025-09-29,67141.49
2025,7073,2025-10-30,67141.49
2025,7644,2025-11-27,67174.13
2025,7903,2025-12-10,33426.95
2025,8231,2025-12-18,85
2025,8238,2025-12-18,793.76
2025,8243,2025-12-18,17999.89
2025,8049,2025-12-18,20002.08
2025,8030,2025-12-18,374.02
2025,8105,2025-12-18,61652.04
2025,8228,2025-12-18,34
2025,8031,2025-12-18,4901.87
