anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,37,2026-01-02,20000
2026,337,2026-01-19,9729.21
2026,657,2026-01-28,327.09
2026,618,2026-01-28,104.13
2026,482,2026-01-21,180.9
2026,642,2026-01-28,612.9
2026,872,2026-01-30,1284.24
2026,104,2026-01-05,63636.36
2026,481,2026-01-21,970
2026,404,2026-01-19,2030.17
2026,636,2026-01-28,889.6
2026,415,2026-01-19,2000
2026,356,2026-01-19,4009.33
2026,394,2026-01-19,468.59
2026,30,2026-01-02,45000
2026,1019,2026-02-05,2874.55
2026,1046,2026-02-05,112.4
2026,1092,2026-02-06,551.25
2026,1345,2026-02-23,409.02
2026,1365,2026-02-23,1314.56
2026,1356,2026-02-23,954.85
2026,1339,2026-02-23,885.6
2026,1026,2026-02-05,399.98
2026,1171,2026-02-11,24534
2026,1105,2026-02-06,1198.75
2026,1024,2026-02-05,2125.45
2026,1169,2026-02-11,93285.93
2026,1211,2026-02-12,914.28
2026,1959,2026-03-20,288.72
2026,1970,2026-03-20,900.6
2026,1988,2026-03-20,91.2
2026,1807,2026-03-13,7271.34
2026,1821,2026-03-13,3549
2026,1903,2026-03-18,385.65
2026,1978,2026-03-20,579.75
2026,1902,2026-03-18,560.67
2026,2007,2026-03-23,907.87
2026,2325,2026-04-08,1651.85
2026,2299,2026-04-07,448.11
2026,2234,2026-04-01,263.73
