anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,361,2026-01-02,150000
2026,363,2026-01-02,10000
2026,142,2026-01-02,35000
2026,985,2026-01-29,4393.75
2026,76,2026-01-02,500000
2026,422,2026-01-02,34148.31
2026,491,2026-01-09,88154.88
2026,132,2026-01-02,80000
2026,282,2026-01-02,173125
2026,487,2026-01-09,51148.78
2026,151,2026-01-02,300000
2026,371,2026-01-02,145694.46
2026,368,2026-01-02,42059.69
2026,384,2026-01-02,901.2
2026,113,2026-01-02,300000
2026,264,2026-01-02,1047662.63
2026,421,2026-01-02,8895.76
2026,980,2026-01-29,20147.5
2026,441,2026-01-05,17232
2026,516,2026-01-13,9197.5
2026,438,2026-01-05,17550
2026,485,2026-01-09,2775
2026,138,2026-01-02,25000
2026,520,2026-01-13,93777.7
2026,493,2026-01-12,6300
2026,374,2026-01-02,11250
2026,226,2026-01-02,125000
2026,366,2026-01-02,6660.62
2026,391,2026-01-02,260428.42
2026,461,2026-01-08,13875
2026,1006,2026-01-29,11400
2026,499,2026-01-12,843793.63
2026,425,2026-01-02,15247.89
2026,886,2026-01-28,123210
2026,437,2026-01-05,17550
2026,888,2026-01-28,43740
2026,1157,2026-02-03,238198.66
2026,1147,2026-02-02,1398.68
2026,1570,2026-02-26,3701.26
2026,1468,2026-02-24,16339
2026,1230,2026-02-05,113014.74
2026,1187,2026-02-04,1564.2
2026,1228,2026-02-05,14106.58
2026,1495,2026-02-24,31.34
2026,1186,2026-02-04,13289.95
2026,1388,2026-02-18,14175
2026,2037,2026-03-20,35837.4
2026,1776,2026-03-03,17550
2026,1823,2026-03-05,103808
2026,1777,2026-03-03,17550
2026,2329,2026-03-30,6942.63
2026,1798,2026-03-04,521.4
2026,1801,2026-03-04,8857.26
2026,2039,2026-03-20,11586.25
2026,1954,2026-03-13,2854.13
2026,2729,2026-04-09,1564.2
