anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,990,2024-01-30,2355.21
2024,997,2024-01-30,9505.11
2024,1584,2024-02-28,11032.82
2024,2319,2024-03-27,11860.32
2024,3066,2024-04-29,13118.79
2024,3701,2024-05-29,13118.79
2024,4444,2024-06-27,13974.36
2024,4649,2024-07-03,6839.91
2024,5186,2024-07-31,13974.36
2024,5976,2024-08-29,14011.27
2024,5426,2024-08-08,36.91
2024,6640,2024-09-27,14011.27
2024,7316,2024-10-30,13845.42
2024,8001,2024-11-28,13410.79
2024,8547,2024-12-19,5243.23
2024,8241,2024-12-05,8040.31
2024,8612,2024-12-19,13582.35
2024,8594,2024-12-19,3975.57
