anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,929,2024-01-30,3180.09
2024,1052,2024-01-30,176763.73
2024,938,2024-01-30,101.66
2024,889,2024-01-30,21835.44
2024,1003,2024-01-30,15445.97
2024,1549,2024-02-28,3896.77
2024,1621,2024-02-28,157921
2024,1704,2024-02-28,5694.41
2024,1648,2024-02-28,27685.38
2024,1717,2024-02-28,220.41
2024,2359,2024-03-27,198155.04
2024,2355,2024-03-27,2811.44
2024,2228,2024-03-27,13241.3
2024,2997,2024-04-29,11977.7
2024,3117,2024-04-29,10237.86
2024,3119,2024-04-29,205291.1
2024,3061,2024-04-29,1002.96
2024,3766,2024-05-29,190713.77
2024,3760,2024-05-29,8417.43
2024,3681,2024-05-29,7578.18
2024,4397,2024-06-27,4139.1
2024,4514,2024-06-27,10889.25
2024,4411,2024-06-27,142.95
2024,3978,2024-06-10,186.07
2024,4544,2024-06-27,190547.73
2024,4434,2024-06-27,24609.88
2024,5225,2024-07-31,20114.44
2024,5147,2024-07-30,3573.68
2024,4662,2024-07-03,84579.56
2024,5228,2024-07-31,172760.41
2024,4877,2024-07-15,10729.77
2024,6035,2024-08-29,4903.73
2024,5527,2024-08-08,766.42
2024,6037,2024-08-29,195229.49
2024,5450,2024-08-08,5775.33
2024,5919,2024-08-29,1473.85
2024,6253,2024-09-09,307.23
2024,6671,2024-09-27,190716.17
2024,6669,2024-09-27,2326.89
2024,6618,2024-09-27,2644.82
2024,6629,2024-09-27,7468.49
2024,6601,2024-09-27,3409.71
2024,7426,2024-10-30,187300.79
2024,7254,2024-10-30,5332.74
2024,7424,2024-10-30,3166.17
2024,8049,2024-11-28,195921.4
2024,7993,2024-11-28,11664.39
2024,8035,2024-11-28,7779.17
2024,8619,2024-12-19,5368.72
2024,8621,2024-12-19,201321.6
2024,8264,2024-12-05,108973.83
2024,8640,2024-12-19,1999.48
2024,8571,2024-12-19,21808.37
2024,8263,2024-12-05,649.36
