anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,284,2026-01-16,68491.24
2026,340,2026-01-19,7100
2026,293,2026-01-16,15962.9
2026,658,2026-01-28,1710
2026,339,2026-01-19,127125
2026,286,2026-01-16,2452.09
2026,1278,2026-02-19,9536.92
2026,927,2026-02-04,1771
2026,959,2026-02-05,11429.85
2026,1475,2026-02-25,11999.66
2026,1474,2026-02-25,81147.29
2026,1131,2026-02-09,7051.98
2026,1476,2026-02-25,6724.81
2026,1077,2026-02-06,74384.93
2026,1928,2026-03-19,32937.84
2026,1929,2026-03-19,300
2026,2027,2026-03-23,70457.7
