anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,460,2024-01-30,4289.2
2024,688,2024-01-30,733.62
2024,662,2024-01-30,77533.13
2024,1080,2024-02-28,5197.32
2024,1083,2024-02-28,72276.24
2024,1024,2024-02-28,7174.57
2024,1528,2024-03-27,8387.3
2024,1531,2024-03-27,71008.73
2024,1481,2024-03-27,8629.65
2024,1744,2024-04-15,47099.05
2024,2013,2024-04-29,9877.46
2024,2010,2024-04-29,52405.75
2024,1957,2024-04-29,1620.52
2024,2490,2024-05-29,64694.07
2024,2973,2024-06-27,87199.32
2024,3476,2024-07-31,47786.55
2024,3080,2024-07-03,31314.05
2024,3417,2024-07-30,5414.37
2024,3478,2024-07-31,15340.74
2024,4000,2024-08-29,932.26
2024,3647,2024-08-08,687.01
2024,3998,2024-08-29,92395.1
2024,3646,2024-08-08,1581.84
2024,4472,2024-09-27,65205.64
2024,4902,2024-10-30,66198.24
2024,5289,2024-11-28,6615.55
2024,5335,2024-11-28,50686.24
2024,5724,2024-12-19,17937.81
2024,5719,2024-12-19,30481.35
2024,5753,2024-12-19,8211.56
2024,5443,2024-12-05,26104.79
