anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,16,2025-01-02,1200000
2025,518,2025-01-08,28739.34
2025,517,2025-01-08,60000
2025,532,2025-01-10,36432
2025,37,2025-01-02,1000
2025,489,2025-01-07,484497
2025,837,2025-01-28,4311.8
2025,521,2025-01-08,3112.46
2025,515,2025-01-08,9519.84
2025,838,2025-01-28,13292.1
2025,505,2025-01-08,204600
2025,531,2025-01-10,36432
2025,509,2025-01-08,12656.5
2025,839,2025-01-28,771
2025,506,2025-01-08,3362.45
2025,533,2025-01-10,18216
2025,503,2025-01-08,5422.19
2025,1076,2025-01-30,47.03
2025,530,2025-01-10,45540
2025,170,2025-01-02,15000
2025,36,2025-01-02,1000
2025,508,2025-01-08,80000
2025,520,2025-01-08,2000
2025,507,2025-01-08,147282.3
2025,606,2025-01-14,5667.38
2025,58,2025-01-02,150000
2025,511,2025-01-08,22490.6
2025,140,2025-01-02,120000
2025,516,2025-01-08,29297.44
2025,519,2025-01-08,81212.94
2025,504,2025-01-08,2648.89
2025,183,2025-01-02,100000
2025,682,2025-01-16,1412
2025,510,2025-01-08,6150525
2025,871,2025-01-29,36753
2025,38,2025-01-02,1000000
2025,787,2025-01-22,17216.54
2025,512,2025-01-08,98134
2025,775,2025-01-21,339500
2025,854,2025-01-28,334609.08
2025,141,2025-01-02,380000
2025,15,2025-01-02,450000
2025,502,2025-01-08,70878.44
2025,1621,2025-02-26,7830.9
2025,1408,2025-02-14,1634.16
2025,1197,2025-02-05,331.07
2025,1285,2025-02-11,104.13
2025,1287,2025-02-11,78.1
2025,1402,2025-02-14,3328.66
2025,1643,2025-02-27,232.6
2025,1636,2025-02-27,9165.18
2025,1224,2025-02-07,38134.75
2025,1573,2025-02-24,19716.46
2025,1637,2025-02-27,1754.8
2025,1496,2025-02-20,81215.69
2025,1416,2025-02-14,793.76
2025,1208,2025-02-06,3000
2025,1653,2025-02-27,620
2025,1248,2025-02-10,14682.59
2025,1151,2025-02-03,3821.55
2025,1403,2025-02-14,224.46
2025,1415,2025-02-14,3466.26
2025,1286,2025-02-11,78.1
2025,1654,2025-02-27,189523
2025,1642,2025-02-27,1936.6
2025,1246,2025-02-10,533.6
2025,1822,2025-02-27,47.03
2025,1652,2025-02-27,21108.52
2025,1247,2025-02-10,2410.4
2025,1572,2025-02-24,19021.91
2025,2516,2025-03-28,8262.6
2025,2429,2025-03-28,47.03
2025,2309,2025-03-27,6187878.57
2025,2160,2025-03-17,10000
2025,1917,2025-03-03,101174.52
2025,2216,2025-03-20,684.69
2025,1918,2025-03-03,100001.97
2025,2107,2025-03-12,303.91
2025,2213,2025-03-20,246.54
2025,2173,2025-03-19,14430.05
2025,2212,2025-03-20,435.33
2025,2108,2025-03-12,78.1
2025,2109,2025-03-12,104.13
2025,2609,2025-04-03,6163.44
2025,3181,2025-04-30,104274.25
2025,2629,2025-04-07,41768
2025,2822,2025-04-16,708.68
2025,3152,2025-04-29,47.03
2025,2996,2025-04-28,128304.11
2025,2820,2025-04-16,2405.26
2025,2687,2025-04-09,9031.54
2025,2626,2025-04-07,51274
2025,2821,2025-04-16,1603.26
2025,2625,2025-04-04,108000
2025,2973,2025-04-28,4300
2025,2834,2025-04-16,323.7
2025,2776,2025-04-15,127200
2025,3180,2025-04-30,4030.95
2025,3001,2025-04-29,59690
2025,2610,2025-04-03,206738.82
2025,2823,2025-04-16,311.22
2025,3002,2025-04-29,16993.86
2025,2997,2025-04-29,2934.68
2025,2833,2025-04-16,1003.11
2025,3213,2025-05-05,104.13
2025,3302,2025-05-07,47655
2025,3297,2025-05-07,47655
2025,3262,2025-05-05,848
2025,3261,2025-05-05,2314.99
2025,3424,2025-05-15,11980
2025,3629,2025-05-27,34.99
2025,3212,2025-05-05,78.1
2025,3300,2025-05-07,47655
2025,3303,2025-05-07,47655
2025,3235,2025-05-05,211.58
2025,3301,2025-05-07,47655
2025,3572,2025-05-22,70725.75
2025,3298,2025-05-07,47655
2025,3299,2025-05-07,47655
2025,3445,2025-05-15,1200000
2025,3339,2025-05-09,496.29
2025,3254,2025-05-05,630.22
2025,3236,2025-05-05,183.3
2025,3286,2025-05-07,4675.4
2025,3848,2025-05-29,47.03
2025,4165,2025-06-23,45566
2025,4524,2025-06-26,284.65
2025,4087,2025-06-16,17706.27
2025,4178,2025-06-24,462.38
2025,3966,2025-06-06,196067.84
2025,3909,2025-06-03,11030.18
2025,4296,2025-06-26,68000
2025,4086,2025-06-16,4990.7
2025,4227,2025-06-24,125.4
2025,4155,2025-06-20,23430.4
2025,3919,2025-06-03,100000
2025,4065,2025-06-13,526.22
2025,4166,2025-06-23,89538
2025,4077,2025-06-13,7586.77
2025,4078,2025-06-16,81125
2025,4192,2025-06-24,337.35
2025,4191,2025-06-24,1268.8
2025,3907,2025-06-03,50840
2025,3916,2025-06-03,70380
2025,4167,2025-06-23,104.13
2025,4070,2025-06-13,332.02
2025,4179,2025-06-24,276.64
2025,3908,2025-06-03,63628
2025,4709,2025-07-07,3847.6
2025,4950,2025-07-16,59740
2025,4821,2025-07-10,2012
2025,4899,2025-07-14,3000
2025,4819,2025-07-10,6461.9
2025,5025,2025-07-23,100000
2025,5121,2025-07-29,38.96
2025,5323,2025-07-30,47.03
2025,5111,2025-07-25,10157.46
2025,4949,2025-07-16,3542.35
2025,5063,2025-07-24,132056.4
2025,4820,2025-07-10,1158.3
2025,4940,2025-07-16,9771.23
2025,4822,2025-07-10,1123.76
2025,4715,2025-07-07,1412
2025,4843,2025-07-10,8099.3
2025,4735,2025-07-09,2347.75
2025,4844,2025-07-10,1709.6
2025,5057,2025-07-24,21951.67
2025,5709,2025-08-26,10500
2025,5519,2025-08-13,29000
2025,5544,2025-08-15,300000
2025,5714,2025-08-26,800
2025,5633,2025-08-21,1521.52
2025,5717,2025-08-26,2680.28
2025,5720,2025-08-26,408.64
2025,5405,2025-08-05,4651
2025,5841,2025-08-28,12144
2025,5715,2025-08-26,1850
2025,5380,2025-08-01,104.13
2025,5764,2025-08-27,1500
2025,5571,2025-08-19,203.57
2025,5634,2025-08-21,3782.5
2025,5401,2025-08-05,47655
2025,5406,2025-08-05,17315.62
2025,5386,2025-08-04,200000
2025,5718,2025-08-26,849.75
2025,5810,2025-08-28,139000
2025,5842,2025-08-28,12144
2025,5635,2025-08-21,1158.3
2025,5938,2025-08-28,47.03
2025,5719,2025-08-26,616.72
2025,5716,2025-08-26,1152.3
2025,6065,2025-09-04,861.7
2025,6139,2025-09-09,91526
2025,6621,2025-09-29,79.21
2025,6202,2025-09-11,10700
2025,6137,2025-09-09,128460
2025,6317,2025-09-18,103.03
2025,6028,2025-09-03,9771.23
2025,6064,2025-09-04,1024.26
2025,6138,2025-09-09,20609.37
2025,6294,2025-09-17,3678.59
2025,6029,2025-09-03,508.1
2025,6166,2025-09-09,16073.15
2025,6295,2025-09-17,645.65
2025,5985,2025-09-01,173.44
2025,6099,2025-09-05,200000
2025,6328,2025-09-18,1518
2025,6993,2025-10-27,3368.12
2025,7214,2025-10-30,6136.49
2025,6695,2025-10-07,509000
2025,6670,2025-10-02,104.13
2025,6802,2025-10-14,1518
2025,7126,2025-10-30,126.24
2025,6925,2025-10-20,109440
2025,6763,2025-10-10,4991.3
2025,6764,2025-10-10,1801.8
2025,7213,2025-10-30,3029.35
2025,6872,2025-10-16,880.4
2025,7438,2025-11-13,1518
2025,7366,2025-11-10,1518
2025,7306,2025-11-05,78.1
2025,7325,2025-11-06,1844.11
2025,7380,2025-11-11,4938
2025,7576,2025-11-27,66000
2025,7381,2025-11-11,19772.38
2025,7773,2025-11-28,195.23
2025,7445,2025-11-13,1004.04
2025,7729,2025-11-27,158.42
2025,7977,2025-12-15,1418730
2025,8005,2025-12-16,30750.96
2025,7986,2025-12-15,1518
2025,7850,2025-12-08,34171.2
2025,8263,2025-12-19,1518
2025,7851,2025-12-08,160671.6
2025,8264,2025-12-19,1518
2025,8253,2025-12-18,1525000
2025,7849,2025-12-05,120
2025,7886,2025-12-09,1518
2025,8266,2025-12-22,400
2025,7848,2025-12-05,120
2025,8310,2025-12-30,3995.74
2025,8265,2025-12-22,2524.15
