anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1043,2024-01-30,41099.85
2024,1667,2024-02-28,36463.97
2024,1709,2024-02-28,8460.67
2024,2420,2024-03-27,41986.31
2024,3191,2024-04-29,41565.16
2024,2989,2024-04-29,9383.6
2024,3113,2024-04-29,1845.78
2024,3056,2024-04-29,6311.05
2024,3059,2024-04-29,1084.71
2024,3788,2024-05-29,3846.45
2024,3808,2024-05-29,34243.03
2024,4528,2024-06-27,38409.95
2024,4423,2024-06-27,2055.8
2024,3982,2024-06-10,1578.71
2024,4650,2024-07-03,19199.28
2024,5220,2024-07-31,1682.05
2024,5142,2024-07-30,1854.18
2024,5283,2024-07-31,38231.69
2024,5492,2024-08-08,1265.55
2024,5945,2024-08-29,2362.71
2024,6015,2024-08-29,32434.88
2024,5484,2024-08-08,117.06
2024,5942,2024-08-29,18823.93
2024,6030,2024-08-29,1567.3
2024,6733,2024-09-27,34208.27
2024,7401,2024-10-30,34341.5
2024,8064,2024-11-28,34241.58
2024,8251,2024-12-05,17948.08
2024,8655,2024-12-19,34895.93
