anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,213,2026-01-14,199250
2026,214,2026-01-14,135600
2026,280,2026-01-16,67800
2026,1275,2026-02-19,135600
2026,1276,2026-02-19,199250
2026,1479,2026-02-25,135600
2026,1320,2026-02-23,31168.55
2026,925,2026-02-04,199250
2026,1478,2026-02-25,119550
2026,905,2026-02-03,101700
2026,960,2026-02-05,22900
2026,961,2026-02-05,135600
2026,1597,2026-02-26,31889.3
2026,1277,2026-02-19,12960
2026,1911,2026-03-18,771.3
2026,1910,2026-03-18,1121.35
2026,2218,2026-03-31,800989.2
2026,1909,2026-03-18,15426
2026,1908,2026-03-18,22426.92
2026,2098,2026-03-27,597750
2026,2427,2026-04-16,101700
2026,2425,2026-04-16,12960
