anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,16,2023-01-03,36966.36
2023,3,2023-01-02,5250
2023,4,2023-01-02,2690
2023,23,2023-01-03,2719.52
2023,14,2023-01-03,33333.36
2023,17,2023-01-03,9447.36
2023,13,2023-01-03,33750.2
2023,15,2023-01-03,2719.52
2023,8,2023-01-02,411268.35
2023,12,2023-01-03,1450.64
2023,2,2023-01-02,109000
2023,7,2023-01-02,5624
2023,1,2023-01-02,103000
2023,10,2023-01-02,335.96
2023,9,2023-01-02,17042.56
2023,5,2023-01-02,720
2023,18,2023-01-03,41761.69
2023,6,2023-01-02,2540
2023,11,2023-01-02,83100
2023,24,2023-02-09,129159.59
2023,25,2023-03-17,0.2
2023,59,2023-04-26,0.2
2023,60,2023-04-26,100000
2023,57,2023-04-26,16698.84
2023,58,2023-04-26,5700
2023,56,2023-04-26,15200
2023,64,2023-05-11,1800
2023,65,2023-05-29,500
2023,63,2023-05-11,700
2023,62,2023-05-10,345.39
2023,66,2023-05-29,10000
2023,67,2023-05-31,1049.71
2023,68,2023-06-09,23027.94
2023,74,2023-06-16,1270
2023,78,2023-06-21,19325.7
2023,71,2023-06-13,7269.5
2023,73,2023-06-15,17760
2023,72,2023-06-13,130000
2023,70,2023-06-09,50000
2023,79,2023-07-10,24999.98
2023,81,2023-08-08,14287.79
2023,82,2023-08-17,19252.44
2023,84,2023-09-12,234.78
2023,86,2023-09-14,17581.5
2023,85,2023-09-12,234.78
2023,89,2023-09-26,3464.03
2023,88,2023-09-26,27887.49
2023,95,2023-10-17,5250
2023,97,2023-10-23,3326.76
2023,94,2023-10-17,25563.84
2023,100,2023-10-31,10000
2023,96,2023-10-17,2690
2023,99,2023-10-27,1400
2023,93,2023-10-09,10330
2023,92,2023-10-04,9890
2023,101,2023-11-07,4194
2023,107,2023-11-20,3326.76
2023,108,2023-11-23,80000
2023,103,2023-11-09,550.38
2023,102,2023-11-09,1654.13
2023,104,2023-11-13,14950
2023,106,2023-11-16,150000
2023,105,2023-11-14,14186.44
2023,113,2023-12-15,6429.67
2023,110,2023-12-07,180000
2023,112,2023-12-12,80000
2023,111,2023-12-08,43000
