anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,238,2023-01-16,11215
2023,240,2023-01-16,1465
2023,149,2023-01-05,51384.11
2023,239,2023-01-16,7000
2023,243,2023-01-16,18946
2023,22,2023-01-02,4000
2023,244,2023-01-16,3880
2023,235,2023-01-16,25077
2023,560,2023-01-30,3623
2023,237,2023-01-16,3315
2023,9,2023-01-02,30000
2023,266,2023-01-17,3960
2023,234,2023-01-16,13704.95
2023,559,2023-01-30,4680
2023,241,2023-01-16,9300
2023,245,2023-01-16,8661.8
2023,28,2023-01-02,25000
2023,486,2023-01-27,44750
2023,242,2023-01-16,850
2023,46,2023-01-02,50000
2023,236,2023-01-16,12568.44
2023,16,2023-01-02,10000
2023,881,2023-02-22,1900
2023,886,2023-02-22,19780
2023,920,2023-02-23,27993.17
2023,879,2023-02-22,4650
2023,741,2023-02-08,10132.4
2023,880,2023-02-22,7700
2023,850,2023-02-22,4330.9
2023,887,2023-02-22,11724
2023,916,2023-02-23,44789.08
2023,875,2023-02-22,5300
2023,921,2023-02-23,44789.08
2023,780,2023-02-10,56023.62
2023,883,2023-02-22,2400
2023,885,2023-02-22,6577.4
2023,882,2023-02-22,11122.5
2023,888,2023-02-22,2550
2023,884,2023-02-22,4750
2023,1128,2023-03-08,1275
2023,1129,2023-03-08,1685
2023,1134,2023-03-08,8420
2023,1319,2023-03-28,14800
2023,1146,2023-03-09,12472
2023,1126,2023-03-08,5983.16
2023,1027,2023-03-01,50000
2023,1029,2023-03-01,50000
2023,1028,2023-03-01,50000
2023,1020,2023-03-01,13176.09
2023,1166,2023-03-10,15232.7
2023,1022,2023-03-01,424.06
2023,1125,2023-03-08,3720
2023,1140,2023-03-08,18365
2023,1127,2023-03-08,5427
2023,1453,2023-04-04,3000
2023,1516,2023-04-12,3400
2023,1520,2023-04-12,2676
2023,1522,2023-04-12,4650
2023,1525,2023-04-12,1415
2023,1521,2023-04-12,2540
2023,1512,2023-04-12,16308
2023,1434,2023-04-04,70269.9
2023,1456,2023-04-04,2000
2023,1515,2023-04-12,16695
2023,1438,2023-04-04,12337.2
2023,1503,2023-04-12,18245.67
2023,1436,2023-04-04,5385.2
2023,1592,2023-04-19,56023.62
2023,1523,2023-04-12,19717
2023,1513,2023-04-12,11361.68
2023,1519,2023-04-12,5900
2023,1437,2023-04-04,7548.5
2023,1974,2023-05-15,13013.5
2023,2101,2023-05-25,300000
2023,2091,2023-05-24,100000
2023,2044,2023-05-19,10208
2023,1850,2023-05-04,1034
2023,1959,2023-05-15,4800
2023,1980,2023-05-15,6369.45
2023,1956,2023-05-15,500
2023,2100,2023-05-25,500000
2023,1977,2023-05-15,4750
2023,1950,2023-05-15,13099.79
2023,2102,2023-05-25,100000
2023,1881,2023-05-05,7763.25
2023,1863,2023-05-05,22500
2023,1987,2023-05-15,3880
2023,1948,2023-05-15,15000
2023,1864,2023-05-05,8415.5
2023,1880,2023-05-05,4920
2023,1988,2023-05-15,3285
2023,1989,2023-05-15,2332
2023,2043,2023-05-19,63027
2023,2088,2023-05-24,30000
2023,1991,2023-05-15,2985
2023,1965,2023-05-15,3000
2023,1866,2023-05-05,32395.95
2023,1978,2023-05-15,19281.2
2023,2604,2023-06-30,150000
2023,2411,2023-06-16,13121.06
2023,2410,2023-06-16,3120
2023,2385,2023-06-16,4500
2023,2399,2023-06-16,22500
2023,2372,2023-06-16,6200
2023,2303,2023-06-12,12100
2023,2397,2023-06-16,12860.17
2023,2395,2023-06-16,18257.3
2023,2396,2023-06-16,8978
2023,2393,2023-06-16,10000
2023,2376,2023-06-16,2850
2023,2600,2023-06-30,43728.34
2023,2296,2023-06-12,850
2023,2398,2023-06-16,26851.05
2023,2403,2023-06-16,899.92
2023,2603,2023-06-30,50000
2023,2400,2023-06-16,4305.7
2023,2697,2023-07-07,5060
2023,2856,2023-07-19,6462
2023,2750,2023-07-13,3000
2023,3023,2023-07-31,10000
2023,2696,2023-07-07,10666.3
2023,2854,2023-07-19,19130.97
2023,2853,2023-07-19,2425
2023,2785,2023-07-13,11699.2
2023,2786,2023-07-13,30000
2023,2769,2023-07-13,100
2023,3141,2023-08-14,103782.34
2023,3571,2023-09-19,92462.3
2023,3637,2023-09-21,15000
2023,3633,2023-09-21,10000
2023,3456,2023-09-06,80000
2023,3634,2023-09-21,850
2023,3453,2023-09-06,30000
2023,3559,2023-09-18,17167.12
2023,3822,2023-09-29,10500
2023,3629,2023-09-21,5103.3
2023,3635,2023-09-21,1250
2023,3584,2023-09-19,6000
2023,3455,2023-09-06,80000
2023,3457,2023-09-06,17904
2023,3630,2023-09-21,2061
2023,3632,2023-09-21,12260
2023,3583,2023-09-19,7681.5
2023,3544,2023-09-18,2240
2023,3452,2023-09-06,65021
2023,3701,2023-09-26,42247.41
2023,3636,2023-09-21,25000
2023,3576,2023-09-19,21500
2023,3454,2023-09-06,60000
2023,3578,2023-09-19,9909.2
2023,4101,2023-10-26,18035.86
2023,4096,2023-10-26,3582.7
2023,4082,2023-10-26,10000
2023,3931,2023-10-11,26637.47
2023,4230,2023-10-31,6000
2023,3924,2023-10-11,6874.9
2023,3928,2023-10-11,8286.2
2023,4017,2023-10-19,31400
2023,4234,2023-10-31,10000
2023,3933,2023-10-11,3600
2023,4089,2023-10-26,11991.8
2023,3925,2023-10-11,79590.2
2023,4226,2023-10-31,6599.2
2023,4231,2023-10-31,4000
2023,4130,2023-10-26,6409.6
2023,3938,2023-10-11,6360
2023,3937,2023-10-11,4023
2023,3930,2023-10-11,9554.2
2023,4102,2023-10-26,30000
2023,4088,2023-10-26,5000
2023,4227,2023-10-31,7725.2
2023,4016,2023-10-19,4379.4
2023,3934,2023-10-11,7415
2023,4224,2023-10-31,7011
2023,4015,2023-10-19,14390
2023,4093,2023-10-26,12300.57
2023,3936,2023-10-11,31800
2023,3932,2023-10-11,1900
2023,3929,2023-10-11,1251
2023,3935,2023-10-11,4250
2023,3927,2023-10-11,4395.5
2023,3926,2023-10-11,48263.28
2023,4575,2023-11-28,251582.16
2023,4424,2023-11-20,44284.51
2023,4423,2023-11-20,99496.31
2023,4312,2023-11-08,13200
2023,4309,2023-11-08,7821.7
2023,4517,2023-11-23,5000
2023,4450,2023-11-21,6697.17
2023,4316,2023-11-08,16569.2
2023,4502,2023-11-23,5000
2023,4319,2023-11-08,10100
2023,4449,2023-11-21,14253.35
2023,4512,2023-11-23,3000
2023,4313,2023-11-08,14800.5
2023,4302,2023-11-08,469.5
2023,4504,2023-11-23,2354
