anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,536,2026-01-14,2494.03
2026,541,2026-01-14,3200
2026,354,2026-01-02,15625
2026,270,2026-01-02,160636.75
2026,542,2026-01-14,900
2026,698,2026-01-15,1136
2026,358,2026-01-02,162931.62
2026,538,2026-01-14,3281.29
2026,847,2026-01-23,4800
2026,535,2026-01-14,12140.48
2026,359,2026-01-02,26400
2026,697,2026-01-15,3255
2026,238,2026-01-02,5435
2026,537,2026-01-14,7949.04
2026,205,2026-01-02,13273.8
2026,239,2026-01-02,3415
2026,230,2026-01-02,3500000
2026,729,2026-01-19,2886
2026,539,2026-01-14,1806
2026,293,2026-01-02,183.12
2026,531,2026-01-14,14607.7
2026,308,2026-01-02,2310000
2026,540,2026-01-14,950
2026,355,2026-01-02,33000
2026,533,2026-01-14,6397.64
2026,1262,2026-02-05,6980.83
2026,1242,2026-02-05,2649.08
2026,1181,2026-02-04,13192
2026,1246,2026-02-05,43106.77
2026,1250,2026-02-05,6568.5
2026,1171,2026-02-04,526
2026,1174,2026-02-04,37060
2026,1211,2026-02-04,19347.9
2026,1259,2026-02-05,91375.32
2026,1252,2026-02-05,12981.7
2026,1221,2026-02-04,19851.45
2026,1172,2026-02-04,16357.54
2026,1200,2026-02-04,2741.51
2026,1207,2026-02-04,19543.81
2026,1349,2026-02-13,5567.58
2026,1253,2026-02-05,20733.98
2026,1251,2026-02-05,33866.17
2026,1183,2026-02-04,2100
2026,1198,2026-02-04,2079.36
2026,1178,2026-02-04,86900
2026,1245,2026-02-05,17990.69
2026,1212,2026-02-04,4789.35
2026,1254,2026-02-05,5686.9
2026,1204,2026-02-04,11169.39
2026,1201,2026-02-04,1104.31
2026,1248,2026-02-05,5192
2026,1217,2026-02-04,4764.56
2026,1257,2026-02-05,44490.62
2026,1222,2026-02-04,6195.7
2026,1243,2026-02-05,49800
2026,1269,2026-02-05,667.69
2026,1208,2026-02-04,4526.9
2026,1261,2026-02-05,31446.94
2026,1220,2026-02-04,169.96
2026,1270,2026-02-05,2315.04
2026,1173,2026-02-04,7049.35
2026,1216,2026-02-04,38634.02
2026,1199,2026-02-04,765.04
2026,1210,2026-02-04,756.9
2026,1258,2026-02-05,19064.6
2026,1214,2026-02-04,756.9
2026,1202,2026-02-04,31274.34
2026,1247,2026-02-05,10419.81
2026,1176,2026-02-04,6520
2026,1203,2026-02-04,15919.36
2026,1267,2026-02-05,1782.94
2026,1205,2026-02-04,646.49
2026,1180,2026-02-04,2420
2026,1263,2026-02-05,17869.53
2026,1213,2026-02-04,1561.15
2026,1350,2026-02-13,11300.51
2026,1206,2026-02-04,1844.82
2026,1219,2026-02-04,2381.79
2026,1268,2026-02-05,1010
2026,1255,2026-02-05,9505.13
2026,1266,2026-02-05,505.28
2026,1170,2026-02-04,3086.76
2026,1209,2026-02-04,1963.27
2026,1249,2026-02-05,19552.61
2026,1256,2026-02-05,6148
2026,1265,2026-02-05,6236.34
2026,1260,2026-02-05,23211.6
2026,1264,2026-02-05,12049.89
2026,1244,2026-02-05,13550.58
2026,1941,2026-03-13,62000
2026,1870,2026-03-09,19072.7
2026,2174,2026-03-27,3743.61
2026,2121,2026-03-25,1122.29
2026,2107,2026-03-24,4990
2026,2085,2026-03-23,6100
2026,2120,2026-03-25,946.51
2026,2173,2026-03-27,2697.68
2026,1964,2026-03-16,9996.27
2026,1940,2026-03-13,85800
2026,1965,2026-03-16,2576.83
2026,1951,2026-03-13,187903.82
2026,2116,2026-03-25,513.96
2026,1871,2026-03-09,3363.38
2026,2035,2026-03-20,298.74
2026,1781,2026-03-04,70000
2026,2034,2026-03-20,732.48
2026,2592,2026-04-02,3675.84
2026,2590,2026-04-02,1384.95
2026,2588,2026-04-02,732.74
2026,2570,2026-04-02,21473.5
2026,2586,2026-04-02,291.18
2026,2639,2026-04-07,15982.59
2026,2599,2026-04-02,5520
2026,2587,2026-04-02,3453.67
2026,2598,2026-04-02,980
2026,2568,2026-04-02,7055.54
2026,2601,2026-04-02,12774.48
2026,2575,2026-04-02,800
2026,2571,2026-04-02,10150.11
2026,2798,2026-04-10,10050.09
2026,2582,2026-04-02,10380
2026,2585,2026-04-02,668.07
2026,2572,2026-04-02,27472
2026,2576,2026-04-02,5600
2026,2579,2026-04-02,7200
2026,2591,2026-04-02,5888.08
2026,2577,2026-04-02,3880
2026,2768,2026-04-09,6100
2026,2589,2026-04-02,3248.14
2026,2583,2026-04-02,780
2026,2873,2026-04-15,117978
2026,2580,2026-04-02,6240
2026,2595,2026-04-02,24988
2026,2797,2026-04-10,19933.21
