anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,456,2024-01-30,34498.71
2024,332,2024-01-22,5000000
2024,626,2024-01-30,28709.77
2024,458,2024-01-30,1346.13
2024,675,2024-01-30,60368.77
2024,493,2024-01-30,195.88
2024,495,2024-01-30,844.32
2024,692,2024-01-30,698.65
2024,449,2024-01-30,1322.89
2024,638,2024-01-30,48661.45
2024,652,2024-01-30,402270.81
2024,676,2024-01-30,1540.6
2024,691,2024-01-30,176.5
2024,677,2024-01-30,3835
2024,684,2024-01-30,266784.03
2024,685,2024-01-30,176.5
2024,2,2024-01-02,966855.3
2024,673,2024-01-30,77693.42
2024,657,2024-01-30,15196.57
2024,666,2024-01-30,485722.86
2024,686,2024-01-30,706
2024,1051,2024-02-28,34378.34
2024,1110,2024-02-28,264.75
2024,1026,2024-02-28,10260.23
2024,1075,2024-02-28,17951.68
2024,1073,2024-02-28,466615.2
2024,1106,2024-02-28,88.25
2024,734,2024-02-02,12940.97
2024,1128,2024-02-28,58.69
2024,1107,2024-02-28,353
2024,1088,2024-02-28,71815.65
2024,735,2024-02-02,457.15
2024,1067,2024-02-28,10273.31
2024,1118,2024-02-28,17152.03
2024,1028,2024-02-28,2178.2
2024,1122,2024-02-28,3892.35
2024,1108,2024-02-28,88.25
2024,1090,2024-02-28,49646.7
2024,1021,2024-02-28,2649.76
2024,1537,2024-03-27,16714.19
2024,1555,2024-03-27,353
2024,1515,2024-03-27,4431.11
2024,1264,2024-03-11,12896.67
2024,1483,2024-03-27,25468.42
2024,1557,2024-03-27,264.75
2024,1323,2024-03-13,417.62
2024,1535,2024-03-27,86375.77
2024,1521,2024-03-27,494650.05
2024,1538,2024-03-27,2054.13
2024,1265,2024-03-11,496.9
2024,1523,2024-03-27,32329.1
2024,1554,2024-03-27,88.25
2024,1197,2024-03-05,2302.63
2024,1662,2024-04-04,12763.07
2024,2003,2024-04-29,9938.02
2024,2021,2024-04-29,517969.8
2024,2026,2024-04-29,316.5
2024,2019,2024-04-29,35556.27
2024,1979,2024-04-29,353
2024,1975,2024-04-29,11664.84
2024,1980,2024-04-29,88.25
2024,2005,2024-04-29,96057.08
2024,1982,2024-04-29,264.75
2024,1942,2024-04-29,8648.32
2024,2497,2024-05-29,12517.6
2024,2186,2024-05-10,14257.42
2024,2472,2024-05-29,353
2024,2448,2024-05-29,5501.47
2024,2469,2024-05-29,88.25
2024,2501,2024-05-29,110790.1
2024,2498,2024-05-29,36480.31
2024,2482,2024-05-29,264.75
2024,2537,2024-05-29,228.7
2024,2439,2024-05-29,2258.07
2024,2500,2024-05-29,594188.56
2024,2942,2024-06-27,17113.57
2024,2914,2024-06-27,4307
2024,2977,2024-06-27,42837.46
2024,2953,2024-06-27,11089.14
2024,2978,2024-06-27,567187.56
2024,2638,2024-06-10,14573.98
2024,2922,2024-06-27,41308.07
2024,2993,2024-06-27,88.25
2024,3002,2024-06-27,353
2024,2992,2024-06-27,264.75
2024,2971,2024-06-27,117421.16
2024,2960,2024-06-27,606.83
2024,2934,2024-06-27,4734.83
2024,3485,2024-07-31,8998.31
2024,3446,2024-07-31,31057.02
