anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,845,2025-01-30,150000
2025,767,2025-01-30,26241.89
2025,775,2025-01-30,930.59
2025,824,2025-01-30,175668.66
2025,829,2025-01-30,91732.96
2025,786,2025-01-30,12786.67
2025,1471,2025-02-27,150000
2025,1444,2025-02-27,12352.82
2025,1521,2025-02-27,49705.84
2025,1503,2025-02-27,226683.87
2025,1425,2025-02-27,12401.92
2025,1447,2025-02-27,662.45
2025,2065,2025-03-28,27758.51
2025,2041,2025-03-28,150000
2025,2060,2025-03-28,202989.17
2025,1989,2025-03-28,11529.76
2025,2531,2025-04-29,132362.36
2025,2468,2025-04-29,4139.37
2025,2567,2025-04-29,6484.06
2025,2578,2025-04-29,133907.12
2025,2562,2025-04-29,134601.95
2025,3066,2025-05-29,150000
2025,3085,2025-05-29,5340.8
2025,3011,2025-05-29,5312.49
2025,3068,2025-05-29,147011.58
2025,3081,2025-05-29,177852.61
2025,3559,2025-06-26,21688.9
2025,3648,2025-06-26,150000
2025,3614,2025-06-26,11708.02
2025,3608,2025-06-26,325594.96
2025,3577,2025-06-26,10615.93
2025,3563,2025-06-26,469.44
2025,4114,2025-07-30,4614.72
2025,3765,2025-07-07,989.28
2025,4183,2025-07-30,25737.58
2025,4199,2025-07-30,150000
2025,3819,2025-07-10,232318.49
2025,4164,2025-07-30,303344.85
2025,4651,2025-08-28,3693.12
2025,4666,2025-08-28,64.63
2025,4718,2025-08-28,14579.85
2025,4735,2025-08-28,326883.31
2025,4667,2025-08-28,2938.97
2025,4693,2025-08-28,150000
2025,5182,2025-09-29,6242.36
2025,5258,2025-09-29,150000
2025,5221,2025-09-29,324608.77
2025,5225,2025-09-29,9642.57
2025,5955,2025-10-30,359317.15
2025,5824,2025-10-30,148.39
2025,5994,2025-10-30,150000
2025,5827,2025-10-30,783.2
2025,5777,2025-10-30,5780.64
2025,5962,2025-10-30,16133.1
2025,6469,2025-11-27,359987.64
2025,6429,2025-11-27,13164.25
2025,6461,2025-11-27,150000
2025,6364,2025-11-27,20292.22
2025,6724,2025-12-18,15509.92
2025,6808,2025-12-18,40177.09
2025,6723,2025-12-18,420.71
2025,6639,2025-12-10,3035.3
2025,6609,2025-12-10,109810.97
2025,6770,2025-12-18,62584.64
2025,6596,2025-12-10,143000
2025,6606,2025-12-10,189.89
2025,6799,2025-12-18,449688.87
