anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,756,2026-01-19,43.8
2026,670,2026-01-14,43.8
2026,759,2026-01-19,43.8
2026,748,2026-01-19,43.8
2026,672,2026-01-14,43.8
2026,856,2026-01-26,43.8
2026,755,2026-01-19,43.8
2026,691,2026-01-14,43.8
2026,747,2026-01-19,43.8
2026,746,2026-01-19,43.8
2026,743,2026-01-19,43.8
2026,682,2026-01-14,43.8
2026,863,2026-01-26,43.8
2026,760,2026-01-19,43.8
2026,677,2026-01-14,43.8
2026,786,2026-01-20,43.8
2026,878,2026-01-27,43.8
2026,882,2026-01-27,43.8
2026,683,2026-01-14,43.8
2026,678,2026-01-14,43.8
2026,724,2026-01-16,43.8
2026,752,2026-01-19,43.8
2026,737,2026-01-19,72000
2026,719,2026-01-16,43.8
2026,796,2026-01-20,43.8
2026,671,2026-01-14,43.8
2026,721,2026-01-16,43.8
2026,859,2026-01-26,43.8
2026,725,2026-01-16,43.8
2026,742,2026-01-19,43.8
2026,835,2026-01-23,43.8
2026,788,2026-01-20,43.8
2026,794,2026-01-20,43.8
2026,680,2026-01-14,43.8
2026,791,2026-01-20,43.8
2026,669,2026-01-14,43.8
2026,749,2026-01-19,43.8
2026,720,2026-01-16,43.8
2026,722,2026-01-16,43.8
2026,861,2026-01-26,43.8
2026,673,2026-01-14,43.8
2026,836,2026-01-23,43.8
2026,754,2026-01-19,43.8
2026,689,2026-01-14,43.8
2026,789,2026-01-20,43.8
2026,690,2026-01-14,43.8
2026,694,2026-01-14,43.8
2026,792,2026-01-20,43.8
2026,693,2026-01-14,43.8
2026,718,2026-01-16,43.8
2026,675,2026-01-14,43.8
2026,780,2026-01-20,43.8
2026,797,2026-01-20,43.8
2026,668,2026-01-14,43.8
2026,685,2026-01-14,43.8
2026,676,2026-01-14,43.8
2026,881,2026-01-27,43.8
2026,784,2026-01-20,43.8
2026,838,2026-01-23,43.8
2026,782,2026-01-20,43.8
2026,674,2026-01-14,43.8
2026,688,2026-01-14,43.8
2026,834,2026-01-23,43.8
2026,681,2026-01-14,43.8
2026,750,2026-01-19,43.8
2026,695,2026-01-14,43.8
2026,781,2026-01-20,43.8
2026,758,2026-01-19,43.8
2026,790,2026-01-20,43.8
2026,684,2026-01-14,43.8
2026,723,2026-01-16,43.8
2026,787,2026-01-20,43.8
2026,717,2026-01-16,43.8
2026,679,2026-01-14,43.8
2026,753,2026-01-19,43.8
2026,783,2026-01-20,43.8
2026,798,2026-01-20,43.8
2026,744,2026-01-19,43.8
2026,857,2026-01-26,43.8
2026,880,2026-01-27,43.8
2026,860,2026-01-26,43.8
2026,686,2026-01-14,43.8
2026,858,2026-01-26,43.8
2026,751,2026-01-19,43.8
2026,862,2026-01-26,43.8
2026,837,2026-01-23,43.8
2026,692,2026-01-14,43.8
2026,818,2026-01-22,43.8
2026,785,2026-01-20,43.8
2026,793,2026-01-20,43.8
2026,745,2026-01-19,43.8
2026,855,2026-01-26,43.8
2026,687,2026-01-14,43.8
2026,795,2026-01-20,43.8
2026,757,2026-01-19,43.8
2026,741,2026-01-19,43.8
2026,263,2026-01-02,30000
2026,1519,2026-02-25,43.8
2026,1590,2026-02-26,43.8
2026,1588,2026-02-26,43.8
2026,1520,2026-02-25,43.8
2026,1589,2026-02-26,43.8
2026,1827,2026-03-05,43.8
2026,1858,2026-03-06,43.8
2026,1755,2026-03-02,43.8
2026,1860,2026-03-06,43.8
2026,1859,2026-03-06,43.8
2026,2000,2026-03-18,43.8
2026,1862,2026-03-06,43.8
2026,1861,2026-03-06,43.8
2026,2842,2026-04-13,43.8
2026,2851,2026-04-14,43.8
2026,2885,2026-04-15,43.8
2026,2886,2026-04-15,43.8
