anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,137,2023-01-02,13652.1
2023,200,2023-01-02,599346.53
2023,1024,2023-01-31,159.58
2023,733,2023-01-23,79.79
2023,659,2023-01-19,66446.2
2023,1263,2023-02-14,79.79
2023,1324,2023-02-17,79.79
2023,1392,2023-02-23,79.79
2023,1618,2023-03-03,241380
2023,1818,2023-03-15,22119.9
2023,1746,2023-03-13,79.79
2023,2356,2023-04-11,79.79
2023,2523,2023-04-18,79.79
2023,2775,2023-04-27,79.79
2023,3254,2023-05-23,79.79
2023,3203,2023-05-19,79.79
2023,3131,2023-05-16,79.79
2023,3670,2023-06-06,79.79
2023,3608,2023-06-02,2500000
2023,4318,2023-07-03,343.34
2023,4983,2023-07-31,79.79
2023,4339,2023-07-03,102.58
2023,5384,2023-08-21,79.79
2023,5382,2023-08-21,79.79
2023,5054,2023-08-03,79.79
2023,5808,2023-09-11,79.79
2023,5846,2023-09-13,14685
2023,6530,2023-10-17,79.79
2023,7201,2023-11-21,79.79
2023,7574,2023-12-01,79.79
