anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1015,2024-01-30,3207.01
2024,100,2024-01-02,292255.92
2024,806,2024-01-25,5000000
2024,898,2024-01-30,4934.7
2024,1067,2024-01-30,148456.92
2024,1593,2024-02-28,3010.3
2024,1172,2024-02-07,1084463.55
2024,1559,2024-02-28,5521.94
2024,1129,2024-02-02,13701.11
2024,1633,2024-02-28,106521.51
2024,1327,2024-02-15,31830.95
2024,1942,2024-03-11,13352.38
2024,2356,2024-03-27,106527.9
2024,2220,2024-03-27,4693.49
2024,2292,2024-03-27,17989.37
2024,2392,2024-03-27,11951.35
2024,3147,2024-04-29,119422.1
2024,2524,2024-04-04,12951.64
2024,3003,2024-04-29,1137.78
2024,3136,2024-04-29,928.73
2024,3367,2024-05-10,13886.23
2024,3762,2024-05-29,116878.48
2024,3368,2024-05-10,41887.21
2024,4516,2024-06-27,105889.98
2024,4535,2024-06-27,1024.31
2024,4439,2024-06-27,3915.72
2024,4395,2024-06-27,2475.97
2024,3973,2024-06-10,15019.45
2024,4403,2024-06-27,19240.81
2024,5239,2024-07-31,110561.52
2024,5311,2024-07-31,24221.3
2024,4730,2024-07-05,13691.26
2024,4669,2024-07-03,54947
2024,5149,2024-07-30,12253.99
2024,5264,2024-07-31,660.24
2024,5306,2024-07-31,986.1
2024,5482,2024-08-08,427.45
2024,5526,2024-08-08,3659.76
2024,6089,2024-08-29,11441.47
2024,5924,2024-08-29,3374.48
2024,6069,2024-08-29,123124.79
2024,5549,2024-08-08,15425.85
2024,6173,2024-09-05,15428.65
2024,6604,2024-09-27,1003.94
2024,6719,2024-09-27,5208.51
2024,6666,2024-09-27,115292.22
2024,7352,2024-10-30,2179.99
2024,7259,2024-10-30,130.61
2024,6850,2024-10-04,15405.63
2024,7419,2024-10-30,106254.4
2024,7300,2024-10-30,14017.91
2024,7629,2024-11-12,15456.68
2024,8146,2024-11-28,235.09
2024,8037,2024-11-28,119618
2024,8143,2024-11-28,5991.39
2024,8149,2024-11-28,940.37
2024,8719,2024-12-19,15487.77
2024,8578,2024-12-19,1561.79
2024,8618,2024-12-19,104701.5
2024,8790,2024-12-30,261.22
2024,8347,2024-12-06,15923.64
2024,8813,2024-12-30,627622.89
2024,8720,2024-12-19,16192.77
2024,8738,2024-12-19,22450.24
2024,8281,2024-12-05,59355.45
