anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,72,2026-01-02,51840
2026,192,2026-01-14,1886.5
2026,74,2026-01-02,17968
2026,350,2026-01-19,3532.08
2026,73,2026-01-02,51840
2026,917,2026-02-04,2060
2026,1326,2026-02-23,112.2
2026,1473,2026-02-25,30000
2026,922,2026-02-04,20.32
2026,1325,2026-02-23,2880
2026,1525,2026-02-26,875
2026,1323,2026-02-23,101.54
2026,1524,2026-02-26,213.5
2026,1235,2026-02-13,746.16
2026,919,2026-02-04,2000
2026,920,2026-02-04,1945
2026,1237,2026-02-13,12890.34
2026,918,2026-02-04,2750
2026,1526,2026-02-26,1752
2026,921,2026-02-04,2853.2
2026,1677,2026-03-04,258.2
2026,1676,2026-03-04,122
2026,1674,2026-03-04,43.6
2026,1773,2026-03-12,50452.54
2026,1811,2026-03-13,7098
2026,2022,2026-03-23,3563.62
2026,2372,2026-04-10,12158.95
2026,2317,2026-04-08,28799.66
