anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,988,2023-01-30,11153.75
2023,925,2023-01-30,1249.69
2023,1010,2023-01-30,351078.11
2023,1556,2023-02-27,362371.04
2023,1501,2023-02-27,11247.36
2023,1495,2023-02-27,3526.53
2023,1497,2023-02-27,11060.06
2023,1464,2023-02-27,2084.47
2023,2128,2023-03-30,6600.11
2023,2120,2023-03-30,761.55
2023,2122,2023-03-30,12325.41
2023,2190,2023-03-30,372553.85
2023,2098,2023-03-30,3111.63
2023,2521,2023-04-18,2794.55
2023,2669,2023-04-27,937.27
2023,2743,2023-04-27,393521.04
2023,2522,2023-04-18,769.98
2023,2724,2023-04-27,11481.84
2023,3445,2023-05-31,12288.25
2023,3519,2023-05-31,9491.57
2023,3489,2023-05-31,1222.7
2023,3520,2023-05-31,431128.55
2023,3500,2023-05-31,15454.98
2023,4187,2023-06-29,13673.95
2023,4215,2023-06-29,12862.8
2023,4287,2023-06-29,432791.29
2023,4858,2023-07-27,1100.43
2023,4835,2023-07-27,9813.95
2023,4928,2023-07-27,422852.8
2023,4433,2023-07-06,192700.41
2023,4868,2023-07-27,3923.61
2023,4860,2023-07-27,13987.69
2023,5513,2023-08-30,4010.4
2023,5563,2023-08-30,13254.06
2023,5578,2023-08-30,417360.41
2023,6162,2023-09-28,978.14
2023,6224,2023-09-28,412927.55
2023,6208,2023-09-28,14525.68
2023,6800,2023-10-27,418709.33
2023,6783,2023-10-27,13889.87
2023,6725,2023-10-27,20430.8
2023,7463,2023-11-29,12862.8
2023,7485,2023-11-29,390494.09
2023,7493,2023-11-29,20814
2023,7412,2023-11-29,17434.72
2023,7941,2023-12-21,5513.83
2023,8029,2023-12-22,14525.68
2023,7669,2023-12-07,200255.09
2023,7904,2023-12-21,39449.63
2023,7970,2023-12-22,3526.85
2023,8049,2023-12-22,418694
