anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1077,2024-01-30,36462.42
2024,907,2024-01-30,2475.92
2024,1672,2024-02-28,825.32
2024,1639,2024-02-28,36285.14
2024,2230,2024-03-27,3041.02
2024,2416,2024-03-27,37420.52
2024,2996,2024-04-29,3413.38
2024,3054,2024-04-29,2528.47
2024,2678,2024-04-15,183696.26
2024,3189,2024-04-29,11188.47
2024,3027,2024-04-29,6240.87
2024,3045,2024-04-29,12096.63
2024,3769,2024-05-29,3413.43
2024,3806,2024-05-29,26303.11
2024,4549,2024-06-27,40702.43
2024,5281,2024-07-31,47674.28
2024,4680,2024-07-03,16526.02
2024,5445,2024-08-08,964.92
2024,5918,2024-08-29,2725.99
2024,6006,2024-08-29,46373.67
2024,6730,2024-09-27,2089.73
2024,6731,2024-09-27,44074.96
2024,7378,2024-10-30,40059.64
2024,7296,2024-10-30,18094.18
2024,8054,2024-11-28,43892.18
2024,7604,2024-11-11,28916.84
2024,7663,2024-11-13,3618.84
2024,8653,2024-12-19,46373.67
2024,8277,2024-12-05,19573.2
2024,8796,2024-12-30,4135.81
