anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,502,2024-01-04,23779.42
2024,345,2024-01-03,20000
2024,63,2024-01-02,128011.15
2024,375,2024-01-03,10000
2024,610,2024-01-08,79700
2024,328,2024-01-03,100000
2024,58,2024-01-02,50157.16
2024,520,2024-01-04,66000
2024,682,2024-01-16,13500
2024,230,2024-01-02,71724.8
2024,519,2024-01-04,23572.5
2024,182,2024-01-02,2747
2024,957,2024-01-30,200
2024,506,2024-01-04,192919.22
2024,351,2024-01-03,120000
2024,683,2024-01-16,10400
2024,927,2024-01-30,5000
2024,641,2024-01-09,104.13
2024,925,2024-01-30,40000
2024,515,2024-01-04,253394.63
2024,873,2024-01-29,157500
2024,488,2024-01-04,3159463.56
2024,514,2024-01-04,378635.41
2024,963,2024-01-30,500
2024,64,2024-01-02,4540.7
2024,521,2024-01-04,43000
2024,1101,2024-01-31,146.66
2024,179,2024-01-02,52050
2024,69,2024-01-02,1497959.55
2024,118,2024-01-02,230921.6
2024,51,2024-01-02,215397.83
2024,1102,2024-01-31,146.66
2024,55,2024-01-02,55706.5
2024,512,2024-01-04,1066730
2024,307,2024-01-03,209331.16
2024,229,2024-01-02,247969.8
2024,1505,2024-02-27,26499
2024,1616,2024-02-28,1960
2024,1835,2024-03-05,32066.75
2024,1837,2024-03-05,138.85
2024,1839,2024-03-05,79.79
2024,1848,2024-03-05,250
2024,1766,2024-03-01,63741.19
2024,1847,2024-03-05,102.58
2024,2264,2024-03-27,219.98
2024,1846,2024-03-05,102.58
2024,1838,2024-03-05,307.75
2024,1819,2024-03-04,39.9
2024,2389,2024-03-27,508.78
2024,1844,2024-03-05,102.58
2024,1843,2024-03-05,102.58
2024,1841,2024-03-05,79.79
2024,1849,2024-03-05,350
2024,1840,2024-03-05,79.79
2024,2122,2024-03-20,10400
2024,1773,2024-03-01,141917.9
2024,1845,2024-03-05,102.58
2024,1871,2024-03-06,82965.25
2024,1772,2024-03-01,202759.15
2024,1842,2024-03-05,79.79
2024,2854,2024-04-22,93965.5
2024,2533,2024-04-04,6628.8
2024,2630,2024-04-11,99.64
2024,2980,2024-04-26,219.98
2024,2767,2024-04-17,99.64
2024,2789,2024-04-19,535.71
2024,3197,2024-04-29,1000
2024,2764,2024-04-17,99.64
2024,2781,2024-04-19,55500
2024,2765,2024-04-17,99.64
2024,3164,2024-04-29,523.78
2024,2841,2024-04-22,709740.11
2024,3216,2024-04-30,10338.4
2024,2761,2024-04-17,99.64
2024,2830,2024-04-19,119.61
2024,2762,2024-04-17,99.64
2024,3087,2024-04-29,241.49
2024,3033,2024-04-29,99.64
2024,2477,2024-04-02,13500
2024,2766,2024-04-17,99.64
2024,2763,2024-04-17,99.64
2024,3217,2024-04-30,82100
2024,2532,2024-04-04,38000
2024,2620,2024-04-10,400
2024,2829,2024-04-19,99.64
2024,3749,2024-05-29,523.78
2024,3315,2024-05-07,378363
2024,3495,2024-05-20,1025.8
2024,3447,2024-05-15,79.79
2024,3313,2024-05-07,41750
2024,3719,2024-05-29,102.58
2024,3445,2024-05-15,79.79
2024,3659,2024-05-29,102.58
2024,3314,2024-05-07,16965
2024,3570,2024-05-24,152795
2024,3720,2024-05-29,205.16
2024,3444,2024-05-15,79.79
2024,3492,2024-05-20,1025.8
2024,3446,2024-05-15,79.79
2024,3658,2024-05-29,102.58
2024,3494,2024-05-20,1025.8
2024,3593,2024-05-24,1014012.64
2024,3497,2024-05-20,205.16
2024,3717,2024-05-29,102.58
2024,3518,2024-05-21,1700
2024,3496,2024-05-20,1025.8
2024,3626,2024-05-28,102.58
2024,3718,2024-05-29,102.58
2024,3951,2024-06-07,387655
2024,4381,2024-06-27,99.64
2024,4248,2024-06-21,400
2024,3949,2024-06-07,50267
2024,3889,2024-06-05,348459.77
2024,4247,2024-06-21,400
2024,3996,2024-06-11,49098
2024,4107,2024-06-17,400
2024,4566,2024-06-28,119.61
2024,4234,2024-06-21,6687.9
2024,3852,2024-06-03,15600
2024,4108,2024-06-17,400
2024,3950,2024-06-07,99151
2024,4332,2024-06-26,8800
2024,4503,2024-06-27,508.78
2024,4110,2024-06-17,400
2024,4236,2024-06-21,18000
2024,4109,2024-06-17,400
2024,4325,2024-06-26,5936
2024,4985,2024-07-22,270.68
2024,5263,2024-07-31,508.78
2024,4884,2024-07-15,15600
2024,4886,2024-07-15,67483
2024,4983,2024-07-22,9982.97
2024,4984,2024-07-22,233.42
2024,4885,2024-07-15,129759
2024,4887,2024-07-15,299615
2024,5122,2024-07-30,5595
2024,4796,2024-07-10,99.64
2024,4740,2024-07-05,164066.75
2024,5607,2024-08-14,19857.6
2024,5702,2024-08-20,193725.6
2024,5595,2024-08-13,166499
2024,5594,2024-08-13,473112
2024,5596,2024-08-13,110084
2024,5556,2024-08-09,300000
2024,5531,2024-08-08,6593.89
2024,6110,2024-08-30,15600
2024,5608,2024-08-14,69900
2024,5630,2024-08-15,7137.6
2024,6085,2024-08-29,508.78
2024,5532,2024-08-08,3955.9
2024,5729,2024-08-21,45750
2024,5631,2024-08-15,9111.2
2024,6558,2024-09-26,12445.79
2024,6447,2024-09-18,102.58
2024,6438,2024-09-18,63627
2024,6449,2024-09-19,27502.34
2024,6167,2024-09-04,18000
2024,6445,2024-09-18,102.58
2024,6448,2024-09-18,491608
2024,6454,2024-09-19,38578.52
2024,6442,2024-09-18,102.58
2024,6446,2024-09-18,102.58
2024,6174,2024-09-05,1597.88
2024,6696,2024-09-27,508.78
2024,6148,2024-09-03,99.64
2024,6444,2024-09-18,102.58
2024,6439,2024-09-18,115362
2024,6200,2024-09-05,270.23
2024,6175,2024-09-05,157919.86
2024,6443,2024-09-18,102.58
2024,6537,2024-09-24,480
2024,6441,2024-09-18,102.58
2024,6149,2024-09-03,99.64
2024,7170,2024-10-28,71000
2024,6960,2024-10-14,2993.53
2024,7011,2024-10-17,15738.4
2024,7171,2024-10-28,54880
2024,6815,2024-10-02,10400
2024,7145,2024-10-24,39.9
2024,7159,2024-10-28,67.84
