anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,286,2023-01-18,500
2023,1034,2023-03-01,50000
2023,1035,2023-03-01,50000
2023,1036,2023-03-01,50000
2023,1773,2023-04-27,580
2023,1695,2023-04-26,1399.3
2023,1774,2023-04-27,1391
2023,1772,2023-04-27,3780
2023,2118,2023-05-26,8825.43
2023,1945,2023-05-15,10000
2023,1972,2023-05-15,3128
2023,1958,2023-05-15,500
2023,2746,2023-07-13,3000
2023,3009,2023-07-31,20000
2023,2758,2023-07-13,2274.75
2023,2761,2023-07-13,7725.25
2023,3012,2023-07-31,20000
2023,3005,2023-07-31,20000
2023,3024,2023-07-31,10000
2023,3021,2023-07-31,20000
2023,3019,2023-07-31,20000
2023,3339,2023-08-30,904
2023,3254,2023-08-21,1640.4
2023,3565,2023-09-18,1252.04
2023,4084,2023-10-26,10000
