anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1055,2024-01-30,130556.53
2024,1093,2024-01-30,23975.03
2024,905,2024-01-30,6390.21
2024,1723,2024-02-28,29.15
2024,1624,2024-02-28,147568.59
2024,1645,2024-02-28,11863.34
2024,1710,2024-02-28,5563.03
2024,1565,2024-02-28,6849.7
2024,2337,2024-03-27,159121.8
2024,2358,2024-03-27,7758.03
2024,2221,2024-03-27,7595.92
2024,2274,2024-03-27,2543.21
2024,3118,2024-04-29,3570.23
2024,3107,2024-04-29,164572.68
2024,3055,2024-04-29,5222.74
2024,3744,2024-05-29,174590.7
2024,4518,2024-06-27,1531.23
2024,4441,2024-06-27,7445.79
2024,4489,2024-06-27,167513.28
2024,4872,2024-07-15,11464.5
2024,5210,2024-07-31,183359.55
2024,5240,2024-07-31,5087.6
2024,4663,2024-07-03,74243.56
2024,5159,2024-07-30,383.48
2024,5474,2024-08-08,6153.32
2024,5922,2024-08-29,6065.39
2024,5447,2024-08-08,181.09
2024,6070,2024-08-29,1897.82
2024,6024,2024-08-29,163042.05
2024,6750,2024-09-27,160774.87
2024,6667,2024-09-27,2096.38
2024,6608,2024-09-27,9728.24
2024,7420,2024-10-30,2298.18
2024,7303,2024-10-30,7529.56
2024,7409,2024-10-30,190404.73
2024,8079,2024-11-28,172799.73
2024,8660,2024-12-19,161700.89
2024,8271,2024-12-05,93315.46
2024,8794,2024-12-30,43222.64
2024,8746,2024-12-19,2873.38
2024,8575,2024-12-19,18623.82
