anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,979,2023-01-30,2992.64
2023,971,2023-01-30,15784.32
2023,955,2023-01-30,559169.56
2023,1491,2023-02-27,14282.04
2023,1482,2023-02-27,591342.16
2023,1494,2023-02-27,8821.86
2023,1531,2023-02-27,1098.82
2023,2117,2023-03-30,10126.24
2023,2112,2023-03-30,611546.89
2023,2119,2023-03-30,5721.49
2023,2162,2023-03-30,1157.57
2023,2706,2023-04-27,2390.19
2023,2710,2023-04-27,615.83
2023,2694,2023-04-27,613924.89
2023,2714,2023-04-27,13061.69
2023,3471,2023-05-31,615332.47
2023,3487,2023-05-31,8977.66
2023,4212,2023-06-29,7382.5
2023,4210,2023-06-29,274.9
2023,4258,2023-06-29,794.58
2023,4204,2023-06-29,576026.25
2023,4849,2023-07-27,555906.13
2023,4857,2023-07-27,11890.5
2023,4428,2023-07-06,260483.38
2023,5542,2023-08-30,578222.9
2023,5555,2023-08-30,6952.9
2023,5552,2023-08-30,2682.65
2023,5551,2023-08-30,15987.28
2023,6197,2023-09-28,11647.3
2023,6200,2023-09-28,4166
2023,6187,2023-09-28,574569.79
2023,6195,2023-09-28,60086.52
2023,6750,2023-10-27,604444.81
2023,6769,2023-10-27,1193.57
2023,6774,2023-10-27,8702.58
2023,6764,2023-10-27,4568.12
2023,7453,2023-11-29,1223.69
2023,7497,2023-11-29,45308.56
2023,7438,2023-11-29,592255.3
2023,7906,2023-12-21,80065.1
2023,7940,2023-12-21,12.53
2023,7890,2023-12-21,2619.84
2023,7660,2023-12-07,315402.34
2023,8018,2023-12-22,33268.43
2023,7942,2023-12-21,978.53
2023,7943,2023-12-21,10007.2
2023,7563,2023-12-01,1714.44
2023,8002,2023-12-22,602526.16
