anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,521,2023-01-30,8576.53
2023,42,2023-01-02,27235.95
2023,174,2023-01-11,79.79
2023,316,2023-01-20,19000
2023,285,2023-01-18,1000
2023,44,2023-01-02,50000
2023,564,2023-01-31,39.9
2023,89,2023-01-02,30000
2023,48,2023-01-02,154000
2023,77,2023-01-02,135000
2023,86,2023-01-02,100000
2023,187,2023-01-12,39.9
2023,145,2023-01-05,1493403.34
2023,321,2023-01-23,79.79
2023,531,2023-01-30,20317.74
2023,546,2023-01-30,14185.01
2023,3,2023-01-02,15619.5
2023,30,2023-01-02,79.79
2023,105,2023-01-02,11092
2023,246,2023-01-16,76600
2023,561,2023-01-31,79.79
2023,161,2023-01-09,79.79
2023,231,2023-01-16,9025.2
2023,146,2023-01-05,108242.88
2023,133,2023-01-04,79.79
2023,322,2023-01-23,79.79
2023,543,2023-01-30,3000.62
2023,333,2023-01-25,39.9
2023,336,2023-01-25,79.79
2023,296,2023-01-19,9451.39
2023,257,2023-01-17,79.79
2023,290,2023-01-19,79.79
2023,10,2023-01-02,15000
2023,304,2023-01-19,2280
2023,156,2023-01-09,79.79
2023,21,2023-01-02,3500
2023,305,2023-01-20,79.79
2023,451,2023-01-27,79.79
2023,518,2023-01-30,4523.42
2023,147,2023-01-05,150000
2023,563,2023-01-31,79.79
2023,324,2023-01-24,39.9
2023,275,2023-01-18,39.9
2023,142,2023-01-05,79.79
2023,92,2023-01-02,50000
2023,115,2023-01-02,50000
2023,497,2023-01-30,2176.08
2023,107,2023-01-02,19677.6
2023,38,2023-01-02,19197.52
2023,288,2023-01-19,79.79
2023,132,2023-01-04,79.79
2023,283,2023-01-18,1000
2023,139,2023-01-05,79.79
2023,189,2023-01-12,39.9
2023,255,2023-01-17,79.79
2023,291,2023-01-19,11734.79
2023,327,2023-01-24,79.79
2023,36,2023-01-02,579660
2023,166,2023-01-10,79.79
2023,300,2023-01-19,4140
2023,33,2023-01-02,79.79
2023,51,2023-01-02,25322.96
2023,354,2023-01-25,295000
2023,143,2023-01-05,79.79
2023,528,2023-01-30,9070.46
2023,502,2023-01-30,102168.9
2023,280,2023-01-18,104.13
2023,11,2023-01-02,57715.5
2023,364,2023-01-26,104.13
2023,319,2023-01-23,39.9
2023,271,2023-01-18,79.79
2023,573,2023-01-31,308.46
2023,45,2023-01-02,50000
2023,144,2023-01-05,79.79
2023,131,2023-01-04,79.79
2023,334,2023-01-25,39.9
2023,119,2023-01-03,79.79
2023,287,2023-01-18,395.07
2023,87,2023-01-02,17556.22
2023,674,2023-01-31,80000
2023,123,2023-01-03,20000
2023,173,2023-01-11,39.9
2023,184,2023-01-12,79.79
2023,55,2023-01-02,83605.65
2023,498,2023-01-30,6050
2023,537,2023-01-30,3117.5
2023,159,2023-01-09,35.08
2023,262,2023-01-17,37170
2023,148,2023-01-05,100000
2023,91,2023-01-02,20000
2023,26,2023-01-02,79053.55
2023,179,2023-01-12,1000
2023,198,2023-01-13,39.9
2023,328,2023-01-24,79.79
2023,310,2023-01-20,24849.51
2023,197,2023-01-13,79.79
2023,52,2023-01-02,10000
2023,169,2023-01-10,39.9
2023,12,2023-01-02,40000
2023,274,2023-01-18,79.79
2023,185,2023-01-12,79.79
2023,78,2023-01-02,23000
2023,276,2023-01-18,79.79
2023,164,2023-01-09,79.79
2023,277,2023-01-18,79.79
2023,200,2023-01-13,79.79
2023,258,2023-01-17,79.79
2023,672,2023-01-31,200000
2023,529,2023-01-30,24810.86
2023,278,2023-01-18,39.9
2023,363,2023-01-26,104.13
2023,62,2023-01-02,5000
2023,565,2023-01-31,79.79
2023,14,2023-01-02,51750
2023,58,2023-01-02,10840
2023,615,2023-01-31,27000
2023,323,2023-01-23,79.79
2023,293,2023-01-19,5498
2023,136,2023-01-05,79.79
2023,79,2023-01-02,308000
2023,85,2023-01-02,700000
2023,357,2023-01-26,79.79
2023,303,2023-01-19,11000
2023,259,2023-01-17,79.79
2023,445,2023-01-27,79.79
2023,186,2023-01-12,79.79
2023,7,2023-01-02,950779
2023,567,2023-01-31,79.79
2023,279,2023-01-18,104.13
2023,199,2023-01-13,39.9
2023,399,2023-01-26,25200
2023,109,2023-01-02,7693022.16
2023,362,2023-01-26,79.79
2023,49,2023-01-02,17210
2023,306,2023-01-20,79.79
2023,281,2023-01-18,104.13
2023,338,2023-01-25,79.79
2023,488,2023-01-30,79.79
2023,230,2023-01-16,50054.24
2023,204,2023-01-16,79.79
2023,452,2023-01-27,79.79
2023,182,2023-01-12,1000
2023,273,2023-01-18,79.79
2023,60,2023-01-02,15000
2023,489,2023-01-30,79.79
2023,90,2023-01-02,30000
2023,325,2023-01-24,79.79
2023,302,2023-01-19,8050
2023,138,2023-01-05,79.79
2023,137,2023-01-05,79.79
2023,32,2023-01-02,79.79
2023,454,2023-01-27,79.79
2023,151,2023-01-05,200000
2023,284,2023-01-18,1000
2023,193,2023-01-13,79.79
2023,168,2023-01-10,79.79
2023,496,2023-01-30,5279.53
2023,361,2023-01-26,39.9
2023,332,2023-01-25,39.9
2023,57,2023-01-02,2880
2023,2,2023-01-02,67672.43
2023,40,2023-01-02,1668.71
2023,530,2023-01-30,1277.5
2023,401,2023-01-26,5400
2023,196,2023-01-13,39.9
2023,228,2023-01-16,1357.02
2023,562,2023-01-31,79.79
2023,292,2023-01-19,4551.75
2023,108,2023-01-02,1130
2023,337,2023-01-25,79.79
2023,574,2023-01-31,85.75
2023,61,2023-01-02,15000
2023,195,2023-01-13,79.79
2023,13,2023-01-02,3000
2023,571,2023-01-31,6420.31
2023,289,2023-01-19,79.79
2023,251,2023-01-16,276.85
2023,1,2023-01-02,11250
2023,24,2023-01-02,9360
2023,314,2023-01-20,25000
2023,5,2023-01-02,38530.56
2023,490,2023-01-30,79.79
2023,301,2023-01-19,11064
2023,43,2023-01-02,269582.17
2023,53,2023-01-02,10000
2023,260,2023-01-17,39.9
2023,232,2023-01-16,7245.1
2023,124,2023-01-03,35629.79
2023,31,2023-01-02,39.9
2023,312,2023-01-20,3533
2023,25,2023-01-02,25944
2023,118,2023-01-03,79.79
2023,59,2023-01-02,608701.94
2023,297,2023-01-19,257
2023,309,2023-01-20,39.9
2023,457,2023-01-27,79.79
2023,533,2023-01-30,59073.75
2023,499,2023-01-30,3212.5
2023,315,2023-01-20,1680
2023,670,2023-01-31,100000
2023,37,2023-01-02,500000
2023,505,2023-01-30,6604.08
2023,106,2023-01-02,53803.44
2023,183,2023-01-12,79.79
2023,335,2023-01-25,39.9
2023,50,2023-01-02,84000
2023,359,2023-01-26,39.9
2023,326,2023-01-24,79.79
2023,152,2023-01-05,145000
2023,307,2023-01-20,79.79
2023,261,2023-01-17,79.79
2023,550,2023-01-30,63728.9
2023,47,2023-01-02,500000
2023,158,2023-01-09,35.08
2023,360,2023-01-26,79.79
2023,250,2023-01-16,909.96
2023,458,2023-01-27,39.9
2023,130,2023-01-04,39.9
2023,101,2023-01-02,24735.39
2023,121,2023-01-03,79.79
2023,150,2023-01-05,54462.96
2023,558,2023-01-30,149200
2023,175,2023-01-11,79.79
2023,163,2023-01-09,79.79
2023,358,2023-01-26,79.79
2023,88,2023-01-02,30000
2023,167,2023-01-10,79.79
2023,313,2023-01-20,17988
2023,534,2023-01-30,3648.96
2023,176,2023-01-11,79.79
2023,76,2023-01-02,25000
2023,188,2023-01-12,79.79
2023,117,2023-01-03,79.79
2023,510,2023-01-30,6443.75
2023,492,2023-01-30,79.79
2023,294,2023-01-19,6050
2023,35,2023-01-02,410000
2023,181,2023-01-12,1000
2023,180,2023-01-12,1000
2023,566,2023-01-31,79.79
2023,256,2023-01-17,39.9
2023,120,2023-01-03,79.79
2023,576,2023-01-31,100
2023,460,2023-01-27,39.9
2023,570,2023-01-31,536.15
2023,487,2023-01-30,79.79
2023,414,2023-01-26,50400
2023,72,2023-01-02,48000
2023,165,2023-01-10,79.79
2023,73,2023-01-02,1500000
2023,448,2023-01-27,79.79
2023,320,2023-01-23,39.9
2023,177,2023-01-12,1000
2023,318,2023-01-23,39.9
2023,203,2023-01-16,39.9
2023,170,2023-01-10,39.9
2023,205,2023-01-16,79.79
2023,56,2023-01-02,46671.5
2023,272,2023-01-18,79.79
2023,178,2023-01-12,1000
2023,491,2023-01-30,79.79
2023,352,2023-01-25,1100000
2023,39,2023-01-02,595156.29
2023,194,2023-01-13,39.9
2023,317,2023-01-23,79.79
2023,141,2023-01-05,79.79
2023,282,2023-01-18,5000
2023,155,2023-01-09,39.9
2023,569,2023-01-31,993.18
2023,557,2023-01-30,2600
2023,308,2023-01-20,39.9
2023,127,2023-01-03,30000
2023,140,2023-01-05,79.79
2023,572,2023-01-31,3490.88
2023,714,2023-02-03,79.79
2023,861,2023-02-22,2991.2
2023,794,2023-02-13,39.9
2023,907,2023-02-23,79.79
2023,864,2023-02-22,1140
2023,1012,2023-02-28,79.79
2023,948,2023-02-27,2182.5
2023,947,2023-02-27,4537.75
2023,877,2023-02-22,1583.48
2023,730,2023-02-07,79.79
2023,873,2023-02-22,2226.2
2023,726,2023-02-06,79.79
2023,898,2023-02-22,79.79
2023,871,2023-02-22,4936.04
2023,732,2023-02-07,79.79
2023,701,2023-02-02,79.79
2023,734,2023-02-07,39.9
2023,874,2023-02-22,10056
2023,752,2023-02-08,104.13
2023,940,2023-02-27,79.79
2023,781,2023-02-10,39.9
2023,934,2023-02-24,79.79
2023,983,2023-02-27,21405.38
2023,847,2023-02-20,102.58
2023,849,2023-02-20,150
