anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,242,2024-01-02,10800
2024,455,2024-01-04,47617.92
2024,36,2024-01-02,19443.57
2024,243,2024-01-02,299504.52
2024,240,2024-01-02,32626
2024,967,2024-01-30,500
2024,241,2024-01-02,94935.7
2024,244,2024-01-02,23258.08
2024,1485,2024-02-26,24082.85
2024,1405,2024-02-20,3127.5
2024,1406,2024-02-20,10399.5
2024,1729,2024-02-29,58166.66
2024,2075,2024-03-18,118000
2024,2072,2024-03-18,163200
2024,2211,2024-03-26,17870
2024,3218,2024-04-30,18875
2024,3220,2024-04-30,4599
2024,2719,2024-04-15,62643.1
2024,3213,2024-04-30,1786
2024,2657,2024-04-12,16415.78
2024,2600,2024-04-10,15592.5
2024,2720,2024-04-15,52256.9
2024,3214,2024-04-30,2226.6
2024,2535,2024-04-05,1403.53
2024,2496,2024-04-03,9725
2024,3215,2024-04-30,16485.6
2024,2601,2024-04-10,8662.95
2024,3212,2024-04-30,3484.5
2024,2755,2024-04-17,6608.49
2024,3574,2024-05-24,32175
2024,3569,2024-05-24,14506.23
2024,3575,2024-05-24,17640
2024,3537,2024-05-23,22988.16
2024,3479,2024-05-17,9415.65
2024,3431,2024-05-15,5394.8
2024,3817,2024-05-31,7980.11
2024,3458,2024-05-16,186491.64
2024,3238,2024-05-03,3585
2024,3480,2024-05-17,6482.1
2024,3878,2024-06-04,2940
2024,3879,2024-06-04,524
2024,4041,2024-06-13,14791.03
2024,3990,2024-06-11,16198.92
2024,3910,2024-06-06,4855
2024,4266,2024-06-21,4546.2
2024,3877,2024-06-04,632.32
2024,4027,2024-06-12,590
2024,4363,2024-06-27,31400.81
2024,3948,2024-06-07,960
2024,4565,2024-06-28,8182.4
2024,3876,2024-06-04,1116
2024,4574,2024-07-01,4121.88
2024,4837,2024-07-12,17750
2024,4688,2024-07-03,3792.62
2024,4836,2024-07-12,20697.11
2024,5412,2024-08-07,6402.68
2024,6106,2024-08-30,9498.75
2024,6107,2024-08-30,1875
2024,5401,2024-08-06,13589.7
2024,6166,2024-09-04,3500
2024,6261,2024-09-10,6239.7
2024,6296,2024-09-12,3595.64
2024,6513,2024-09-23,6850
2024,7010,2024-10-17,3179
2024,7125,2024-10-24,8681.25
2024,6927,2024-10-10,1620.16
2024,7009,2024-10-17,550.7
2024,6955,2024-10-14,29500
2024,7126,2024-10-24,16670.25
2024,6926,2024-10-10,2539.8
2024,7692,2024-11-13,28724.5
2024,7949,2024-11-27,6319.3
2024,7952,2024-11-27,2145.98
2024,7951,2024-11-27,33873.19
2024,7953,2024-11-27,4662.84
2024,7950,2024-11-27,8390
2024,7693,2024-11-13,6431.6
2024,8778,2024-12-27,60.74
2024,8178,2024-12-02,837
2024,8290,2024-12-05,10800
