anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1682,2025-02-27,5319.26
2025,1769,2025-02-27,4716.68
2025,1817,2025-02-27,90205.55
2025,2408,2025-03-28,3783.48
2025,2460,2025-03-28,63888.74
2025,3161,2025-04-29,67949.73
2025,3857,2025-05-29,71949.89
2025,3672,2025-05-29,480.9
2025,4440,2025-06-26,1099.11
2025,4335,2025-06-26,3533.38
2025,4568,2025-06-26,1150.72
2025,4578,2025-06-26,69673.64
2025,5144,2025-07-30,1513.42
2025,4772,2025-07-10,32369.39
2025,5283,2025-07-30,4699.38
2025,5249,2025-07-30,70608.02
2025,5928,2025-08-28,5499.53
2025,5850,2025-08-28,69799.4
2025,5775,2025-08-28,3999.87
2025,6563,2025-09-29,1782.15
2025,6459,2025-09-29,1940.49
2025,6584,2025-09-29,60737
2025,7148,2025-10-30,63996.98
2025,7106,2025-10-30,5137.88
2025,7763,2025-11-27,61445.99
2025,7592,2025-11-27,560.78
2025,8069,2025-12-18,4884.29
2025,7914,2025-12-10,28102.47
2025,8199,2025-12-18,1682.34
2025,8129,2025-12-18,58572.76
