anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,587,2026-01-14,17614.82
2026,891,2026-01-28,22845
2026,589,2026-01-14,62643.1
2026,591,2026-01-14,2925.43
2026,593,2026-01-14,2347.1
2026,831,2026-01-22,2034.2
2026,890,2026-01-28,43098.75
2026,588,2026-01-14,46115.15
2026,833,2026-01-22,141032.1
2026,52,2026-01-02,1000
2026,810,2026-01-21,5200
2026,586,2026-01-14,15212
2026,590,2026-01-14,2437.98
2026,594,2026-01-14,349269.48
2026,592,2026-01-14,94708.87
2026,585,2026-01-14,4366
2026,892,2026-01-28,3137.16
2026,584,2026-01-14,17897.5
2026,500,2026-01-12,17490.08
2026,2007,2026-03-18,3000
2026,1961,2026-03-16,7290
2026,2497,2026-03-31,54694.88
2026,2176,2026-03-27,9402.75
2026,2006,2026-03-18,8812.5
2026,2146,2026-03-26,147500
2026,1962,2026-03-16,18306.5
2026,2496,2026-03-31,65568.53
2026,2150,2026-03-26,11655
2026,1852,2026-03-06,4979.2
2026,2177,2026-03-27,6957
2026,2868,2026-04-15,50000
2026,2664,2026-04-08,164
2026,2665,2026-04-08,264.5
2026,2774,2026-04-09,1226.38
