anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,865,2024-01-29,14863.25
2024,438,2024-01-04,25990
2024,450,2024-01-04,4552.26
2024,709,2024-01-18,231.76
2024,656,2024-01-12,18329.85
2024,864,2024-01-29,25164.57
2024,670,2024-01-15,5881.4
2024,857,2024-01-29,1311.84
2024,66,2024-01-02,224785.42
2024,862,2024-01-29,19324.63
2024,766,2024-01-23,143674
2024,451,2024-01-04,16682
2024,917,2024-01-30,141921.28
2024,115,2024-01-02,5422318.67
2024,449,2024-01-04,8454.18
2024,440,2024-01-04,10780
2024,771,2024-01-23,70954
2024,710,2024-01-18,29796.91
2024,61,2024-01-02,32286.8
2024,769,2024-01-23,99521
2024,851,2024-01-26,31800
2024,772,2024-01-23,111328
2024,112,2024-01-02,462584.25
2024,768,2024-01-23,80850
2024,446,2024-01-04,26630.4
2024,444,2024-01-04,50917.29
2024,452,2024-01-04,9219
2024,867,2024-01-29,6379.76
2024,700,2024-01-18,4799.24
2024,441,2024-01-04,26901.2
2024,811,2024-01-25,6005.69
2024,445,2024-01-04,17542.73
2024,442,2024-01-04,3049.2
2024,912,2024-01-30,108353.44
2024,654,2024-01-12,51373.51
2024,773,2024-01-23,111960
2024,653,2024-01-12,37212
2024,866,2024-01-29,18776.88
2024,856,2024-01-29,4275.19
2024,448,2024-01-04,30467.55
2024,770,2024-01-23,80748
2024,918,2024-01-30,68299.17
2024,814,2024-01-25,3173.87
2024,447,2024-01-04,14366.4
2024,669,2024-01-15,5881.4
2024,813,2024-01-25,8453.22
2024,810,2024-01-25,500.41
2024,443,2024-01-04,13684.71
2024,767,2024-01-23,12789
2024,711,2024-01-18,3271.35
2024,708,2024-01-18,137.44
2024,655,2024-01-12,39856.5
2024,701,2024-01-18,1633.62
2024,706,2024-01-18,4784.09
2024,758,2024-01-23,2659
2024,812,2024-01-25,2341.85
2024,1135,2024-02-02,156.19
2024,1265,2024-02-12,15698.44
2024,1132,2024-02-02,104.13
2024,1350,2024-02-16,6251.57
2024,1260,2024-02-12,1148.71
2024,1155,2024-02-05,187500
2024,1207,2024-02-07,26364.29
2024,1349,2024-02-16,13560.01
2024,1208,2024-02-07,3078
2024,1511,2024-02-28,283.39
2024,1514,2024-02-28,7755.49
2024,1180,2024-02-07,22720.54
2024,1512,2024-02-28,1778.5
2024,1158,2024-02-05,104.13
2024,1492,2024-02-26,14940
2024,1160,2024-02-05,156.19
2024,1254,2024-02-12,710.62
2024,1136,2024-02-02,156.19
2024,1497,2024-02-26,29523.54
2024,1488,2024-02-26,28064.19
