anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,803,2024-01-25,150000
2024,1027,2024-01-30,3492.08
2024,1004,2024-01-30,7543.54
2024,1037,2024-01-30,3768.45
2024,302,2024-01-03,24001
2024,1021,2024-01-30,5740.54
2024,296,2024-01-03,59401.44
2024,941,2024-01-30,882.64
2024,1088,2024-01-30,2407.2
2024,1029,2024-01-30,19261.01
2024,1059,2024-01-30,34733.85
2024,301,2024-01-03,247510.74
2024,1060,2024-01-30,6307.1
2024,932,2024-01-30,10.03
2024,928,2024-01-30,70.21
2024,661,2024-01-12,2200.86
2024,124,2024-01-02,200000
2024,1005,2024-01-30,12174.62
2024,1024,2024-01-30,2144.15
2024,931,2024-01-30,294.66
2024,1057,2024-01-30,10105.66
2024,1038,2024-01-30,9137.96
2024,1045,2024-01-30,3884.89
2024,1072,2024-01-30,6326.69
2024,1028,2024-01-30,3096.8
2024,1041,2024-01-30,3939.52
2024,1079,2024-01-30,16795.51
2024,1051,2024-01-30,7517.96
2024,852,2024-01-26,2200.86
2024,1020,2024-01-30,6703.26
2024,660,2024-01-12,2200.86
2024,1064,2024-01-30,877.62
2024,305,2024-01-03,86708.14
2024,1054,2024-01-30,4266.06
2024,1086,2024-01-30,619.62
2024,1026,2024-01-30,27585.68
2024,910,2024-01-30,6563
2024,1058,2024-01-30,13380.37
2024,947,2024-01-30,50.15
2024,933,2024-01-30,220.66
2024,1047,2024-01-30,14158.54
2024,1031,2024-01-30,76310.81
2024,1062,2024-01-30,1705.1
2024,295,2024-01-03,56423.05
2024,1090,2024-01-30,8944.3
2024,930,2024-01-30,70.21
2024,39,2024-01-02,552069
2024,1053,2024-01-30,3758.98
2024,937,2024-01-30,170.51
2024,1665,2024-02-28,4220.36
2024,1620,2024-02-28,3929.49
2024,1683,2024-02-28,619.62
2024,1721,2024-02-28,190.57
2024,1678,2024-02-28,18733.84
2024,1628,2024-02-28,33261.23
2024,1706,2024-02-28,210.63
2024,1619,2024-02-28,7517.96
2024,1720,2024-02-28,1081.07
2024,1173,2024-02-07,216892.6
2024,1662,2024-02-28,3794.55
2024,1626,2024-02-28,13969.9
2024,1631,2024-02-28,902.7
2024,1716,2024-02-28,392.43
2024,1598,2024-02-28,5710.66
2024,1614,2024-02-28,14147.58
2024,1608,2024-02-28,19396.84
2024,1685,2024-02-28,2106.3
2024,1612,2024-02-28,3945.07
2024,1625,2024-02-28,6307.1
2024,1605,2024-02-28,3782.95
2024,1711,2024-02-28,17.15
2024,1599,2024-02-28,6416.94
2024,1589,2024-02-28,6934.12
2024,1622,2024-02-28,5168.76
2024,1606,2024-02-28,3175
2024,1602,2024-02-28,2435.02
2024,1627,2024-02-28,9869.03
2024,1604,2024-02-28,28244.69
2024,1590,2024-02-28,12694.9
2024,1629,2024-02-28,1755.25
2024,1636,2024-02-28,6657.68
2024,1686,2024-02-28,8196.66
2024,1715,2024-02-28,300.9
2024,1657,2024-02-28,74040.87
2024,1663,2024-02-28,9186.44
2024,1174,2024-02-07,142318.69
2024,2326,2024-03-27,6197.88
2024,2290,2024-03-27,190.57
2024,2421,2024-03-27,7658.38
2024,2403,2024-03-27,2899.18
2024,2347,2024-03-27,7656.42
2024,2287,2024-03-27,130.39
2024,2422,2024-03-27,3939.52
2024,2408,2024-03-27,3563.19
2024,2330,2024-03-27,5722.59
2024,2280,2024-03-27,170.51
2024,2353,2024-03-27,1805.4
2024,2362,2024-03-27,5128.64
2024,1830,2024-03-05,50.15
2024,2372,2024-03-27,9184.55
2024,1931,2024-03-08,2200.86
2024,2399,2024-03-27,18444.74
2024,2284,2024-03-27,300.9
2024,2273,2024-03-27,77.54
2024,2373,2024-03-27,13469.52
2024,2350,2024-03-27,6938.52
2024,2405,2024-03-27,28682.99
2024,2342,2024-03-27,2377.11
2024,2325,2024-03-27,12948.43
2024,2291,2024-03-27,90.27
2024,2288,2024-03-27,240.72
2024,2278,2024-03-27,591.77
2024,2419,2024-03-27,4383.86
2024,2327,2024-03-27,7198.69
2024,2374,2024-03-27,32522.19
2024,2349,2024-03-27,902.7
2024,2398,2024-03-27,3752.86
2024,2346,2024-03-27,619.62
2024,2402,2024-03-27,2435.02
2024,2410,2024-03-27,8970.13
2024,2415,2024-03-27,13597.53
2024,2407,2024-03-27,4230.39
2024,2340,2024-03-27,74447.81
2024,2345,2024-03-27,17641.88
2024,2371,2024-03-27,6235.7
2024,2286,2024-03-27,20.65
2024,3143,2024-04-29,933.36
2024,3024,2024-04-29,0.68
2024,2564,2024-04-08,368812.82
2024,3057,2024-04-29,82.97
2024,3111,2024-04-29,640.67
2024,3126,2024-04-29,9511.07
2024,3173,2024-04-29,3890.69
2024,2626,2024-04-11,10200
2024,3099,2024-04-29,77271.78
2024,3178,2024-04-29,4468.65
2024,2682,2024-04-15,120.36
2024,2677,2024-04-15,40.12
2024,3058,2024-04-29,404.45
2024,3181,2024-04-29,19113.3
2024,3174,2024-04-29,9516.9
2024,3100,2024-04-29,13266.29
2024,3192,2024-04-29,4062.97
2024,2676,2024-04-15,20.06
2024,3170,2024-04-29,2964.96
2024,3139,2024-04-29,3890.71
2024,3103,2024-04-29,5713.42
2024,3184,2024-04-29,29495.75
2024,3102,2024-04-29,2457.85
2024,3185,2024-04-29,4101.86
2024,3127,2024-04-29,6521.36
2024,3064,2024-04-29,1600
2024,3022,2024-04-29,0.68
