anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1009,2024-01-30,21417.29
2024,1556,2024-02-28,1100.41
2024,1651,2024-02-28,21709.78
2024,2233,2024-03-27,1617.44
2024,2368,2024-03-27,5219.14
2024,2360,2024-03-27,16490.64
2024,3125,2024-04-29,853.36
2024,2992,2024-04-29,2560.02
2024,3149,2024-04-29,21593.94
2024,3801,2024-05-29,21840.47
2024,4521,2024-06-27,18935.28
2024,4428,2024-06-27,1337.92
2024,4468,2024-06-27,3512.03
2024,5241,2024-07-31,21945.58
2024,4653,2024-07-03,10844.38
2024,5236,2024-07-31,501.72
2024,6043,2024-08-29,2508.59
2024,5441,2024-08-08,244.82
2024,5946,2024-08-29,6197.22
2024,6071,2024-08-29,14893.89
2024,5933,2024-08-29,1717.81
2024,5943,2024-08-29,2644.82
2024,6682,2024-09-27,5289.64
2024,7403,2024-10-30,5289.64
2024,8044,2024-11-28,5289.64
2024,8257,2024-12-05,2767.89
2024,8622,2024-12-19,5289.64
