anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,769,2026-01-29,4138.47
2026,768,2026-01-29,1042.89
2026,686,2026-01-28,6140.14
2026,196,2026-01-14,15170.4
2026,685,2026-01-28,5000
2026,681,2026-01-28,800
2026,682,2026-01-28,3285.86
2026,683,2026-01-28,2612.74
2026,684,2026-01-28,10368
2026,1307,2026-02-20,3192
2026,1294,2026-02-20,15351
2026,1261,2026-02-19,3719.6
2026,1175,2026-02-11,1152
2026,1952,2026-03-20,3480
2026,1925,2026-03-19,8668.8
2026,1951,2026-03-20,8668.8
2026,1924,2026-03-19,2736
