anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,660,2025-01-22,408242.16
2025,797,2025-01-30,22167.6
2025,662,2025-01-22,1500000
2025,661,2025-01-22,2100000
2025,664,2025-01-22,500000
2025,255,2025-01-08,7849022.16
2025,796,2025-01-30,22167.6
2025,663,2025-01-22,1500000
2025,254,2025-01-08,1644000
2025,1271,2025-02-20,22167.6
2025,1555,2025-02-28,8416.19
2025,1272,2025-02-20,23091.25
2025,1874,2025-03-24,23091.25
2025,1875,2025-03-24,23091.25
2025,3134,2025-05-30,26785.35
2025,3132,2025-05-30,24014.9
2025,3131,2025-05-30,23091.25
2025,2729,2025-05-08,3918640.8
2025,2658,2025-05-05,489830.1
2025,3133,2025-05-30,24938.05
2025,2730,2025-05-08,489830.1
2025,3866,2025-07-11,25862.2
2025,3867,2025-07-11,27709
2025,3772,2025-07-07,24014.9
2025,3770,2025-07-07,26785.35
2025,4995,2025-09-11,28632.65
2025,5097,2025-09-22,28633.15
2025,4997,2025-09-11,26785.85
2025,5096,2025-09-22,28632.65
2025,5654,2025-10-23,191112.73
2025,5764,2025-10-30,28632.65
2025,5765,2025-10-30,29556.8
2025,5655,2025-10-23,423784.57
2025,6851,2025-12-18,791085.1
2025,6924,2025-12-30,20269.08
2025,6927,2025-12-30,31404.1
2025,6844,2025-12-18,264914.9
2025,6853,2025-12-18,460506
2025,6671,2025-12-12,30480.45
2025,6914,2025-12-26,112392.61
2025,6852,2025-12-18,7914.9
2025,6858,2025-12-18,653332.75
2025,6911,2025-12-26,791085.76
2025,6842,2025-12-18,791085.1
2025,6915,2025-12-26,521682.22
2025,6859,2025-12-18,243163.59
2025,6841,2025-12-18,18709.92
2025,6912,2025-12-26,38525.19
2025,6854,2025-12-18,280084.8
2025,6670,2025-12-12,27709
2025,6925,2025-12-30,27709
2025,6913,2025-12-26,18675.64
2025,6862,2025-12-18,21409.2
