anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,77,2026-01-02,50000
2026,461,2026-01-20,1250
2026,416,2026-01-19,1000
2026,456,2026-01-20,1063.78
2026,105,2026-01-05,63636.36
2026,75,2026-01-02,150000
2026,128,2026-01-05,50000
2026,338,2026-01-19,95.74
2026,360,2026-01-19,2571.61
2026,309,2026-01-16,4055.48
2026,405,2026-01-19,2030.17
2026,124,2026-01-05,50000
2026,6,2026-01-02,2000
2026,346,2026-01-19,117.59
2026,395,2026-01-19,468.59
2026,78,2026-01-02,50000
2026,424,2026-01-19,1000
2026,205,2026-01-14,9652.5
2026,1202,2026-02-12,721.8
2026,1346,2026-02-23,360.9
2026,1368,2026-02-23,1090.05
2026,1055,2026-02-05,45.1
2026,1106,2026-02-06,1198.74
2026,1170,2026-02-11,918.02
2026,1408,2026-02-24,170
2026,1047,2026-02-05,56.2
2026,1366,2026-02-23,1539.06
2026,1093,2026-02-06,551.25
2026,1960,2026-03-20,120.3
2026,2209,2026-03-31,15000
2026,1905,2026-03-18,385.65
2026,2208,2026-03-31,15000
2026,1642,2026-03-03,12204
2026,2013,2026-03-23,780
2026,1822,2026-03-13,17745
2026,1904,2026-03-18,560.67
2026,2235,2026-04-01,9652.5
2026,2326,2026-04-08,1364.57
