anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,7,2024-01-02,1908268.53
2024,6,2024-01-02,4234719.66
2024,8,2024-01-02,1908268.59
2024,18,2024-02-06,195476
2024,25,2024-04-30,287678.68
2024,31,2024-06-26,1726072.05
2024,30,2024-06-26,1726072.05
2024,39,2024-09-02,1620589.88
2024,37,2024-09-02,1481678.32
2024,38,2024-09-02,1620589.89
2024,47,2024-10-29,53186
2024,46,2024-10-29,53186.05
2024,50,2024-11-01,320139.38
2024,48,2024-11-01,105482.16
2024,49,2024-11-01,105482.17
2024,57,2024-12-19,523383.4
2024,58,2024-12-19,53186
2024,55,2024-12-19,301803.46
2024,56,2024-12-19,523383.43
2024,52,2024-12-02,393291.62
