anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,27,2024-01-02,1200000
2024,13,2024-01-02,720000
2024,1,2024-01-02,4800
2024,4,2024-01-02,7800000
2024,579,2024-01-05,251.06
2024,9,2024-01-02,13200
2024,11,2024-01-02,650000
2024,924,2024-01-30,8522.63
2024,15,2024-01-02,420000
2024,23,2024-01-02,26400
2024,665,2024-01-15,332611.36
2024,7,2024-01-02,1200000
2024,21,2024-01-02,2760000
2024,1251,2024-02-12,275.32
2024,1544,2024-02-28,8734.97
2024,1216,2024-02-08,255624.99
2024,2187,2024-03-26,18821.45
2024,1992,2024-03-13,295.92
2024,2186,2024-03-26,3156398.01
2024,1957,2024-03-11,719832.07
2024,2299,2024-03-27,8943.65
2024,1958,2024-03-11,464844.71
2024,2537,2024-04-05,990883.19
2024,2687,2024-04-15,317.79
2024,2983,2024-04-29,9187.19
2024,3319,2024-05-08,343.83
2024,3666,2024-05-29,9462.84
2024,4112,2024-06-17,371.75
2024,4463,2024-06-27,9722.45
2024,4733,2024-07-05,15000
2024,4881,2024-07-15,393.98
2024,5125,2024-07-30,9953.7
2024,5962,2024-08-29,10210.39
2024,5635,2024-08-15,419.28
2024,5682,2024-08-19,1152100
2024,5680,2024-08-19,24888.23
2024,5681,2024-08-19,1458091.24
2024,6328,2024-09-12,367510
2024,6326,2024-09-12,218019.82
2024,6327,2024-09-12,340132.25
2024,6232,2024-09-09,2458600
2024,6407,2024-09-17,444.48
2024,6639,2024-09-27,10462.53
2024,6971,2024-10-15,537.4
2024,7263,2024-10-30,10730.27
2024,6940,2024-10-11,2350
2024,7705,2024-11-14,2000000
2024,7958,2024-11-27,10979.65
2024,7639,2024-11-12,60000
2024,7879,2024-11-25,438000
2024,7699,2024-11-14,469.27
2024,7644,2024-11-12,41000
2024,8443,2024-12-16,10191.2
2024,8454,2024-12-16,494.58
2024,8546,2024-12-19,14366.3
