anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,153,2025-01-02,1500000
2025,447,2025-01-02,16790.62
2025,288,2025-01-02,92223.38
2025,446,2025-01-02,2276.9
2025,297,2025-01-02,40000
2025,249,2025-01-02,205278.93
2025,195,2025-01-02,350000
2025,1168,2025-02-04,20375.2
2025,1166,2025-02-04,2460.4
2025,1749,2025-02-27,22000
2025,2278,2025-03-25,2520
2025,3386,2025-05-13,103.03
2025,3370,2025-05-12,103.03
2025,3387,2025-05-13,125.4
2025,3385,2025-05-13,103.03
2025,3898,2025-06-02,103.03
2025,4096,2025-06-17,294329.13
2025,5120,2025-07-29,40000
2025,5415,2025-08-05,73.43
2025,6352,2025-09-19,10272.21
2025,7270,2025-11-03,103.03
2025,7988,2025-12-15,2520
