anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,931,2023-01-30,92435.63
2023,1004,2023-01-30,937.27
2023,1467,2023-02-27,91724.84
2023,2100,2023-03-30,93724.78
2023,2127,2023-03-30,2030.75
2023,2675,2023-04-27,93746.49
2023,3451,2023-05-31,102221.32
2023,4190,2023-06-29,101620.97
2023,4837,2023-07-27,104624.7
2023,4448,2023-07-06,39420.92
2023,5521,2023-08-30,102102.28
2023,6161,2023-09-28,11589.5
2023,6168,2023-09-28,95935.72
2023,6217,2023-09-28,3576.4
2023,6724,2023-10-27,3657.64
2023,6791,2023-10-27,2445.4
2023,6730,2023-10-27,100524.55
2023,7419,2023-11-29,102111.23
2023,7921,2023-12-21,2384.21
2023,8043,2023-12-22,794.76
2023,7977,2023-12-22,100794.38
2023,7683,2023-12-07,43583.79
