anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,944,2023-01-30,2108.85
2023,943,2023-01-30,147542.61
2023,1519,2023-02-27,7122.84
2023,1473,2023-02-27,156896.37
2023,2149,2023-03-30,3072.38
2023,2105,2023-03-30,160921.27
2023,2682,2023-04-27,170827.42
2023,3461,2023-05-31,2957.96
2023,3460,2023-05-31,186173.6
2023,4195,2023-06-29,156897.93
2023,4931,2023-07-27,156998.94
2023,4460,2023-07-06,69715.11
2023,5532,2023-08-30,970.07
2023,5531,2023-08-30,160455.18
2023,6178,2023-09-28,2288.98
2023,6229,2023-09-28,153338.11
2023,6220,2023-09-28,183.4
2023,6196,2023-09-28,294.17
2023,6740,2023-10-27,157065.51
2023,7507,2023-11-29,3491.46
2023,7427,2023-11-29,160122.78
2023,7986,2023-12-22,156081.56
2023,7889,2023-12-21,741.77
2023,7912,2023-12-21,32765.54
2023,7987,2023-12-22,3963.03
2023,7690,2023-12-07,85775.36
