anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,928,2023-01-30,100117.66
2023,969,2023-01-30,2139.71
2023,972,2023-01-30,24779.7
2023,937,2023-01-30,103055.86
2023,936,2023-01-30,90616.96
2023,970,2023-01-30,13684.48
2023,967,2023-01-30,13990.99
2023,957,2023-01-30,2635.87
2023,1470,2023-02-27,110.72
2023,1490,2023-02-27,1654.84
2023,1483,2023-02-27,4817.86
2023,1489,2023-02-27,3940.16
2023,6216,2023-09-28,107064.4
2023,6207,2023-09-28,2200.81
2023,6213,2023-09-28,98287.63
2023,6190,2023-09-28,1094.55
2023,6221,2023-09-28,5928.03
2023,6166,2023-09-28,83893.07
2023,6734,2023-10-27,93789.34
2023,6733,2023-10-27,92309.35
2023,6727,2023-10-27,115690.35
2023,6765,2023-10-27,48544.71
2023,6762,2023-10-27,2299.55
2023,6759,2023-10-27,11609.54
2023,7420,2023-11-29,94112.35
2023,7422,2023-11-29,102090.94
2023,7504,2023-11-29,3301.24
2023,7415,2023-11-29,108480.59
2023,7506,2023-11-29,943.1
2023,7496,2023-11-29,1165.75
2023,7888,2023-12-21,2727.8
2023,7979,2023-12-22,91168.25
2023,7693,2023-12-07,56923.73
2023,8004,2023-12-22,1254.2
2023,7929,2023-12-21,38032.99
2023,7973,2023-12-22,150868.98
2023,7927,2023-12-21,32514.12
2023,7673,2023-12-07,53871.86
2023,7666,2023-12-07,52945.96
2023,7917,2023-12-21,20108.63
2023,8015,2023-12-22,2829.3
2023,7661,2023-12-07,1487.77
2023,8013,2023-12-22,3301.29
2023,7980,2023-12-22,94346.29
