anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,27,2026-01-02,9726
2026,136,2026-01-15,62400
2026,146,2026-01-15,83248.8
2026,214,2026-01-29,58200
2026,115,2026-01-15,54648
2026,133,2026-01-15,46668
2026,124,2026-01-15,66648
2026,19,2026-01-02,19452
2026,137,2026-01-15,42000
2026,204,2026-01-29,331.13
2026,29,2026-01-02,9726
2026,24,2026-01-02,9726
2026,158,2026-01-15,131248.8
2026,142,2026-01-15,42000
2026,32,2026-01-02,19452
2026,12,2026-01-02,19452
2026,123,2026-01-15,49884
2026,190,2026-01-27,3029.58
2026,225,2026-01-29,3790.78
2026,160,2026-01-15,56400
2026,33,2026-01-02,9726
2026,127,2026-01-15,50292
2026,215,2026-01-29,102000
2026,114,2026-01-15,10000
2026,149,2026-01-15,84000
2026,153,2026-01-15,88918.44
2026,230,2026-01-29,49.95
2026,212,2026-01-29,62400
2026,131,2026-01-15,74400
2026,31,2026-01-02,19452
2026,135,2026-01-15,74400
2026,148,2026-01-15,87349.32
2026,140,2026-01-15,84000
2026,113,2026-01-15,57418.2
2026,20,2026-01-02,9726
2026,188,2026-01-27,7015.89
2026,191,2026-01-27,6856.43
2026,21,2026-01-02,19452
2026,209,2026-01-29,58200
2026,98,2026-01-15,36000
2026,40,2026-01-02,9726
2026,22,2026-01-02,19452
2026,139,2026-01-15,84000
2026,23,2026-01-02,9726
2026,36,2026-01-02,9726
2026,189,2026-01-27,3189.04
2026,37,2026-01-02,19452
2026,151,2026-01-15,72897.6
2026,195,2026-01-27,4850
2026,210,2026-01-29,58200
2026,57,2026-01-02,29152
2026,193,2026-01-27,8929.31
2026,147,2026-01-15,74997.12
2026,14,2026-01-02,19452
2026,200,2026-01-27,58200
2026,18,2026-01-02,9726
2026,208,2026-01-29,58200
2026,156,2026-01-15,77248.8
2026,226,2026-01-29,15299.09
2026,38,2026-01-02,19452
2026,13,2026-01-02,19452
2026,141,2026-01-15,45600
2026,138,2026-01-15,84000
2026,194,2026-01-27,6333
2026,152,2026-01-15,35640
2026,196,2026-01-27,3000
2026,16,2026-01-02,9726
2026,25,2026-01-02,9726
2026,79,2026-01-02,96000
2026,125,2026-01-15,57600
2026,35,2026-01-02,9726
2026,145,2026-01-15,66648
2026,97,2026-01-15,24478.56
2026,128,2026-01-15,50400
2026,122,2026-01-15,56274.24
2026,150,2026-01-15,96000
2026,15,2026-01-02,9726
2026,157,2026-01-15,96000
2026,28,2026-01-02,9726
2026,130,2026-01-15,90000
2026,26,2026-01-02,9726
2026,39,2026-01-02,19452
2026,30,2026-01-02,19452
2026,211,2026-01-29,58200
2026,143,2026-01-15,58944
2026,132,2026-01-15,57600
2026,198,2026-01-27,120000
2026,199,2026-01-27,66648
2026,129,2026-01-15,101212.8
2026,213,2026-01-29,58200
2026,126,2026-01-15,90000
2026,192,2026-01-27,5580.82
2026,159,2026-01-15,96240
2026,197,2026-01-27,102000
2026,154,2026-01-15,71248.8
2026,155,2026-01-15,96000
2026,134,2026-01-15,74400
2026,34,2026-01-02,19452
2026,17,2026-01-02,9726
2026,258,2026-02-12,29380
2026,251,2026-02-09,2970
2026,252,2026-02-09,8200
2026,261,2026-02-13,8915.5
2026,250,2026-02-09,8200
2026,247,2026-02-09,8915.5
2026,249,2026-02-09,8560
2026,262,2026-02-19,17831
2026,279,2026-02-26,8105
2026,248,2026-02-09,12000
2026,255,2026-02-09,8000
2026,268,2026-02-24,48500
2026,254,2026-02-09,8200
2026,246,2026-02-09,17831
2026,257,2026-02-09,7500
2026,266,2026-02-24,1621
2026,292,2026-02-26,3744.36
2026,260,2026-02-13,8915.5
2026,267,2026-02-24,48500
2026,256,2026-02-09,8000
2026,288,2026-02-26,15823.26
2026,253,2026-02-09,10000
2026,289,2026-02-26,231.45
2026,340,2026-03-30,140.7
2026,304,2026-03-05,55540
2026,303,2026-03-05,55540
2026,336,2026-03-30,3105.32
2026,310,2026-03-13,43929.1
2026,323,2026-03-23,7294.5
2026,353,2026-03-30,70000
2026,339,2026-03-30,15822.6
2026,317,2026-03-16,28982
2026,302,2026-03-05,83660
2026,329,2026-03-27,14589
2026,372,2026-04-10,43650
2026,364,2026-04-02,46314.94
2026,368,2026-04-02,75000
2026,365,2026-04-02,40084
2026,369,2026-04-02,64124
2026,367,2026-04-02,48000
2026,384,2026-04-15,14589
2026,386,2026-04-17,29450
2026,385,2026-04-15,14589
2026,383,2026-04-15,14589
2026,380,2026-04-15,12968
2026,366,2026-04-02,70000
