anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,164,2025-01-08,17465.36
2025,721,2025-01-28,9496.45
2025,441,2025-01-15,39.9
2025,719,2025-01-28,1529.16
2025,395,2025-01-14,39.9
2025,606,2025-01-22,1472.72
2025,440,2025-01-15,39.9
2025,720,2025-01-28,736.92
2025,75,2025-01-08,39.9
2025,31,2025-01-03,39.9
2025,11,2025-01-02,39.9
2025,612,2025-01-22,19566.24
2025,219,2025-01-08,20000
2025,12,2025-01-02,39.9
2025,672,2025-01-23,39.9
2025,168,2025-01-08,60000
2025,214,2025-01-08,20000
2025,700,2025-01-27,79.79
2025,325,2025-01-10,39.9
2025,23,2025-01-02,40000
2025,118,2025-01-08,549115.2
2025,328,2025-01-10,39.9
2025,345,2025-01-13,6965.44
2025,36,2025-01-03,39.9
2025,30,2025-01-02,79.79
2025,169,2025-01-08,51000
2025,121,2025-01-08,23981.95
2025,173,2025-01-08,484850.46
2025,35,2025-01-03,39.9
2025,864,2025-01-30,1920
2025,682,2025-01-24,39.9
2025,147,2025-01-08,56248
2025,136,2025-01-08,9000
2025,490,2025-01-16,79.79
2025,324,2025-01-10,39.9
2025,16,2025-01-02,50000
2025,420,2025-01-15,8952.07
2025,174,2025-01-08,640669.28
2025,160,2025-01-08,208365
2025,622,2025-01-22,5000
2025,81,2025-01-08,39.9
2025,370,2025-01-14,13739.58
2025,683,2025-01-24,39.9
2025,868,2025-01-30,1464.4
2025,436,2025-01-15,467.48
2025,344,2025-01-13,1961.82
2025,163,2025-01-08,9725.39
2025,32,2025-01-03,39.9
2025,865,2025-01-30,193.81
2025,673,2025-01-23,39.9
2025,735,2025-01-28,915
2025,396,2025-01-14,39.9
2025,237,2025-01-08,68133.33
2025,346,2025-01-13,20446.81
2025,701,2025-01-27,79.79
2025,681,2025-01-24,39.9
2025,632,2025-01-22,5000
2025,678,2025-01-23,3340.3
2025,532,2025-01-20,79.79
2025,382,2025-01-14,18116.13
2025,533,2025-01-20,39.9
2025,435,2025-01-15,9419.55
2025,534,2025-01-20,39.9
2025,546,2025-01-22,39.9
2025,397,2025-01-14,39.9
2025,33,2025-01-03,39.9
2025,545,2025-01-22,39.9
2025,1041,2025-02-07,39.9
2025,908,2025-02-04,39.9
2025,1325,2025-02-24,1775
2025,1339,2025-02-24,245021.75
2025,909,2025-02-04,39.9
2025,1350,2025-02-25,39.9
2025,1557,2025-02-28,39.9
2025,1069,2025-02-11,39.9
2025,1267,2025-02-20,10116.54
2025,1209,2025-02-20,1374.5
2025,1206,2025-02-20,79.79
2025,1068,2025-02-11,79.79
2025,907,2025-02-04,39.9
2025,1269,2025-02-20,10000
2025,1042,2025-02-07,39.9
2025,1414,2025-02-27,1169.15
2025,1273,2025-02-20,39.9
2025,1014,2025-02-06,8616.98
2025,1338,2025-02-24,495145.34
2025,1083,2025-02-12,39.9
2025,1144,2025-02-18,39.9
2025,926,2025-02-05,39.9
2025,1067,2025-02-11,79.79
2025,1130,2025-02-17,39.9
2025,1072,2025-02-11,3000
2025,930,2025-02-05,39.9
2025,1520,2025-02-27,446.64
2025,1558,2025-02-28,39.9
2025,929,2025-02-05,39.9
2025,927,2025-02-05,39.9
2025,1181,2025-02-19,79.79
2025,1532,2025-02-27,19460.61
2025,1292,2025-02-21,39.9
2025,1270,2025-02-20,15370.11
2025,1071,2025-02-11,84000
2025,1123,2025-02-14,39.9
2025,1093,2025-02-13,79.79
2025,1266,2025-02-20,2000
2025,1382,2025-02-25,17986.35
2025,1268,2025-02-20,2250
2025,1182,2025-02-19,79.79
2025,1518,2025-02-27,1120
2025,1131,2025-02-17,39.9
2025,1351,2025-02-25,39.9
2025,1126,2025-02-14,39.9
2025,1550,2025-02-28,63603.41
2025,1284,2025-02-21,1362.5
2025,1207,2025-02-20,79.79
2025,1147,2025-02-18,39.9
2025,1435,2025-02-27,39.9
2025,1070,2025-02-11,39.9
2025,1146,2025-02-18,39.9
2025,1145,2025-02-18,39.9
2025,1434,2025-02-27,39.9
2025,1293,2025-02-21,39.9
2025,1084,2025-02-12,39.9
2025,928,2025-02-05,39.9
2025,1316,2025-02-24,1044.61
2025,1189,2025-02-20,39.9
2025,1793,2025-03-18,39.9
2025,1750,2025-03-13,5000
2025,2101,2025-03-28,183.26
2025,1887,2025-03-24,8200
2025,1616,2025-03-06,1755.2
