anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,199,2026-01-14,2973.23
2026,225,2026-01-14,14337.9
2026,204,2026-01-14,10500
2026,201,2026-01-14,15188.59
2026,308,2026-01-16,65667.58
2026,401,2026-01-19,2030.17
2026,733,2026-01-29,200000
2026,198,2026-01-14,10316.77
2026,203,2026-01-14,43604.7
2026,391,2026-01-19,468.59
2026,197,2026-01-14,55110.49
2026,200,2026-01-14,16066
2026,202,2026-01-14,43609.5
2026,191,2026-01-14,1671.6
2026,1306,2026-02-20,30600
2026,1608,2026-02-27,112716.25
2026,1301,2026-02-20,59287.5
2026,916,2026-02-04,2598
2026,1613,2026-02-27,15300
2026,914,2026-02-04,989.45
2026,1619,2026-02-27,38500
2026,1302,2026-02-20,69281
2026,1402,2026-02-24,220.78
2026,1252,2026-02-18,651.18
2026,1617,2026-02-27,864.7
2026,1610,2026-02-27,57973
2026,1253,2026-02-18,2980
2026,1300,2026-02-20,59711.46
2026,1612,2026-02-27,29749.39
2026,1295,2026-02-20,31200
2026,1400,2026-02-24,16800
2026,1297,2026-02-20,1019
2026,1298,2026-02-20,78906.6
2026,1609,2026-02-27,1481.7
2026,1611,2026-02-27,12519.21
2026,1251,2026-02-18,192
2026,1615,2026-02-27,117423
2026,1303,2026-02-20,109859.85
2026,1401,2026-02-24,558.38
2026,915,2026-02-04,13646.5
2026,1618,2026-02-27,52273.6
2026,1299,2026-02-20,201152.5
2026,1614,2026-02-27,46524.79
2026,1616,2026-02-27,59920.9
2026,1296,2026-02-20,58993.3
2026,2044,2026-03-24,112402.28
2026,1681,2026-03-04,144
2026,2040,2026-03-24,17196.41
2026,2043,2026-03-24,25449.52
2026,1678,2026-03-04,275.99
2026,2052,2026-03-24,133725.85
2026,1680,2026-03-04,350.7
2026,1682,2026-03-04,434.12
2026,2039,2026-03-24,59403.59
2026,1683,2026-03-04,16800
2026,2042,2026-03-24,3206.76
2026,1679,2026-03-04,7070
2026,2051,2026-03-24,61878
2026,2049,2026-03-24,42268.6
2026,2045,2026-03-24,133243
2026,2047,2026-03-24,46998.79
2026,2050,2026-03-24,1481.7
2026,1814,2026-03-13,17745
2026,2048,2026-03-24,15300
2026,2053,2026-03-24,2765
2026,2046,2026-03-24,177
2026,2041,2026-03-24,63971.8
