anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,271,2025-01-08,580149.76
2025,260,2025-01-08,110236.03
2025,649,2025-01-22,3483.4
2025,284,2025-01-08,19255.23
2025,197,2025-01-08,1239266.17
2025,272,2025-01-08,24017.67
2025,296,2025-01-08,20000
2025,319,2025-01-09,26028.44
2025,109,2025-01-08,244334.73
2025,315,2025-01-09,5920.68
2025,90,2025-01-08,74070.5
2025,189,2025-01-08,169623.34
2025,657,2025-01-22,312287.89
2025,111,2025-01-08,130384.37
2025,270,2025-01-08,241338.07
2025,199,2025-01-08,7735
2025,288,2025-01-08,1471807.2
2025,676,2025-01-23,80000
2025,127,2025-01-08,855764.11
2025,191,2025-01-08,94753.55
2025,202,2025-01-08,1646986.15
2025,188,2025-01-08,669415.32
2025,659,2025-01-22,406376.76
2025,285,2025-01-08,438631.6
2025,89,2025-01-08,215368.3
2025,658,2025-01-22,75731.9
2025,318,2025-01-09,9703.7
2025,128,2025-01-08,105768.6
2025,297,2025-01-08,18000
2025,277,2025-01-08,193416.49
2025,187,2025-01-08,207846.41
2025,312,2025-01-09,91312.65
2025,200,2025-01-08,127884.32
2025,140,2025-01-08,300692.28
2025,276,2025-01-08,1384729.35
2025,291,2025-01-08,2135557.45
2025,651,2025-01-22,179190.41
2025,292,2025-01-08,263945.3
2025,299,2025-01-08,10000
2025,294,2025-01-08,2992423.25
2025,313,2025-01-09,50000
2025,317,2025-01-09,11126.02
2025,641,2025-01-22,1195916.81
2025,311,2025-01-09,23007.6
2025,655,2025-01-22,360643.1
2025,198,2025-01-08,770991.42
2025,201,2025-01-08,2704057.01
2025,656,2025-01-22,114209.72
2025,274,2025-01-08,70553.33
2025,268,2025-01-08,30000
2025,252,2025-01-08,3249958
2025,190,2025-01-08,439096.29
2025,88,2025-01-08,138804.95
2025,192,2025-01-08,282606.79
2025,203,2025-01-08,1175914.25
2025,269,2025-01-08,79774.63
2025,283,2025-01-08,155792.33
2025,108,2025-01-08,157526.65
2025,278,2025-01-08,308173.58
2025,253,2025-01-08,3482958
2025,262,2025-01-08,378000
2025,281,2025-01-08,18856.26
2025,273,2025-01-08,6459.6
2025,265,2025-01-08,263495.6
2025,652,2025-01-22,64508.55
2025,654,2025-01-22,1001786.39
2025,675,2025-01-23,25000
2025,264,2025-01-08,6026.5
2025,316,2025-01-09,25380.61
2025,123,2025-01-08,4586.67
2025,195,2025-01-08,12978
2025,314,2025-01-09,80000
2025,275,2025-01-08,12816.67
2025,293,2025-01-08,1414725.49
2025,106,2025-01-08,295198.19
2025,642,2025-01-22,1868620.01
2025,193,2025-01-08,107801.96
2025,290,2025-01-08,163896
2025,196,2025-01-08,88200
2025,92,2025-01-08,84553.7
2025,110,2025-01-08,379107.22
2025,107,2025-01-08,458026.43
2025,131,2025-01-08,1119581.69
2025,141,2025-01-08,20512.32
2025,867,2025-01-30,1342.04
2025,298,2025-01-08,90000
2025,289,2025-01-08,133272
2025,132,2025-01-08,1749346.39
2025,648,2025-01-22,28183.86
2025,266,2025-01-08,112371.45
2025,263,2025-01-08,92556.03
2025,267,2025-01-08,100000
2025,643,2025-01-22,672703.2
2025,646,2025-01-22,270872.97
2025,286,2025-01-08,54212.9
2025,647,2025-01-22,163179.9
2025,300,2025-01-08,10000
2025,280,2025-01-08,714221.33
2025,186,2025-01-08,80675.57
2025,295,2025-01-08,30000
2025,282,2025-01-08,45485.98
2025,261,2025-01-08,280000
2025,320,2025-01-09,5611.56
2025,279,2025-01-08,244937.63
2025,91,2025-01-08,23365.43
2025,185,2025-01-08,239664.31
2025,130,2025-01-08,228277.31
2025,133,2025-01-08,629764.7
2025,650,2025-01-22,114681.86
2025,124,2025-01-08,30916.67
2025,129,2025-01-08,1846970.94
2025,653,2025-01-22,641143.29
2025,194,2025-01-08,303386.94
2025,980,2025-02-05,49141.76
2025,989,2025-02-05,1770
2025,985,2025-02-05,7151.31
2025,938,2025-02-05,1086
2025,983,2025-02-05,130726.4
2025,1075,2025-02-11,182566.44
2025,958,2025-02-05,15600
2025,1386,2025-02-26,10317.4
2025,982,2025-02-05,32695.42
2025,955,2025-02-05,1948071.49
2025,944,2025-02-05,70029.9
2025,991,2025-02-05,10048.46
2025,979,2025-02-05,13063
2025,1156,2025-02-18,287987.9
2025,1334,2025-02-24,70707.53
2025,1402,2025-02-27,18324
2025,948,2025-02-05,81951.26
2025,946,2025-02-05,29406.18
2025,936,2025-02-05,390012.46
2025,1335,2025-02-24,54106.26
2025,937,2025-02-05,420041.39
2025,939,2025-02-05,4095.36
2025,971,2025-02-05,3600
2025,945,2025-02-05,158819.21
2025,990,2025-02-05,3877.04
2025,956,2025-02-05,13725.24
2025,949,2025-02-05,179961.12
2025,968,2025-02-05,115552.85
2025,966,2025-02-05,110741.15
2025,1336,2025-02-24,20000
2025,1389,2025-02-26,19982.96
2025,935,2025-02-05,161680.06
2025,1009,2025-02-06,220263.58
2025,964,2025-02-05,106624.7
2025,975,2025-02-05,91260
2025,965,2025-02-05,14238.25
2025,1341,2025-02-24,3200000
2025,915,2025-02-04,10000
2025,987,2025-02-05,25050.82
2025,972,2025-02-05,32994
2025,978,2025-02-05,50146.12
2025,1313,2025-02-24,29516.06
2025,942,2025-02-05,3344.16
2025,970,2025-02-05,31151.25
2025,951,2025-02-05,234955.85
2025,1340,2025-02-24,1600000
2025,940,2025-02-05,80957.54
2025,1074,2025-02-11,1131931.92
2025,952,2025-02-05,3481.59
2025,950,2025-02-05,26473.85
2025,992,2025-02-05,37801.3
2025,977,2025-02-05,9479.64
2025,976,2025-02-05,2489.88
2025,954,2025-02-05,195094.58
2025,1337,2025-02-24,190393.31
2025,963,2025-02-05,43737.46
2025,953,2025-02-05,38297.49
2025,943,2025-02-05,12610.08
2025,967,2025-02-05,13301.98
2025,914,2025-02-04,50000
2025,1314,2025-02-24,119955.62
2025,957,2025-02-05,30742.93
2025,974,2025-02-05,11700
2025,973,2025-02-05,41790.22
