anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,932,2023-01-30,9855.11
2023,1019,2023-01-30,389175.75
2023,1506,2023-02-27,394165.28
2023,1513,2023-02-27,3515.02
2023,1646,2023-03-07,393.66
2023,2138,2023-03-30,381561.11
2023,2143,2023-03-30,5695.78
2023,2752,2023-04-27,384829.03
2023,3529,2023-05-31,418580.15
2023,4234,2023-06-29,11507.25
2023,4228,2023-06-29,392612.41
2023,4879,2023-07-27,9279.01
2023,4876,2023-07-27,403349.26
2023,4442,2023-07-06,157991.28
2023,5582,2023-08-30,419815.87
2023,5519,2023-08-30,4226.15
2023,5569,2023-08-30,4688.29
2023,5572,2023-08-30,59836.13
2023,6228,2023-09-28,411280.93
2023,6169,2023-09-28,4919.26
2023,6810,2023-10-27,425492.81
2023,6728,2023-10-27,4205.88
2023,6395,2023-10-09,5210.8
2023,6396,2023-10-09,2267.55
2023,7498,2023-11-29,27390.13
2023,7481,2023-11-29,382788.44
2023,7417,2023-11-29,2190.75
2023,7975,2023-12-22,23638.52
2023,8059,2023-12-22,392037.78
2023,7677,2023-12-07,216218.48
2023,7907,2023-12-21,43532.89
2023,7892,2023-12-21,834.57
