anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,268,2023-01-17,1340
2023,20,2023-01-02,4000
2023,71,2023-01-02,38000
2023,84,2023-01-02,34000
2023,96,2023-01-02,10000
2023,29,2023-01-02,25000
2023,267,2023-01-17,1334
2023,919,2023-02-23,13996.59
2023,892,2023-02-22,142.69
2023,893,2023-02-22,142.69
2023,779,2023-02-10,10000
2023,894,2023-02-22,142.69
2023,1033,2023-03-01,10000
2023,1447,2023-04-04,1558
2023,1867,2023-05-05,9276.9
2023,1985,2023-05-15,4785
2023,2094,2023-05-25,50000
2023,1888,2023-05-08,141.96
2023,1984,2023-05-15,19.76
2023,1986,2023-05-15,914
2023,1954,2023-05-15,500
2023,2602,2023-06-30,12000
2023,2370,2023-06-16,1851.5
2023,2386,2023-06-16,200
2023,3015,2023-07-31,5000
2023,2760,2023-07-13,5000
2023,2850,2023-07-19,76.74
2023,2770,2023-07-13,100
2023,2747,2023-07-13,1000
2023,2851,2023-07-19,3205
2023,2849,2023-07-19,1599.5
2023,2848,2023-07-19,984.99
2023,3248,2023-08-21,3795.14
2023,3131,2023-08-14,2334.4
2023,3318,2023-08-24,2175
2023,3319,2023-08-24,1078
2023,3158,2023-08-15,160.6
2023,3582,2023-09-19,5574
2023,3580,2023-09-19,3000
2023,3560,2023-09-18,2494.09
2023,3922,2023-10-11,3707
2023,4095,2023-10-26,1078
2023,4094,2023-10-26,2175
2023,4085,2023-10-26,2000
2023,4222,2023-10-31,516
2023,3923,2023-10-11,1030
2023,4090,2023-10-26,2651.6
2023,4446,2023-11-21,2007.71
2023,4499,2023-11-23,3500
2023,4741,2023-12-05,3286.32
2023,4707,2023-12-01,1000
2023,4697,2023-12-01,2080
2023,4737,2023-12-05,279.2
