anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,277,2025-01-02,44153.33
2025,1014,2025-01-30,2164.23
2025,1087,2025-01-30,9654.75
2025,943,2025-01-30,289.29
2025,492,2025-01-08,100000
2025,1099,2025-01-30,29987.34
2025,977,2025-01-30,32.14
2025,966,2025-01-30,96.43
2025,950,2025-01-30,331.33
2025,1101,2025-01-30,3188.05
2025,1022,2025-01-30,10034.27
2025,944,2025-01-30,192.86
2025,1024,2025-01-30,15367.9
2025,1083,2025-01-30,3235.92
2025,1018,2025-01-30,7998.98
2025,786,2025-01-22,2350.95
2025,270,2025-01-02,59691.1
2025,1102,2025-01-30,8562.61
2025,106,2025-01-02,108798.48
2025,978,2025-01-30,96.43
2025,774,2025-01-21,1000
2025,1100,2025-01-30,7902.69
2025,1088,2025-01-30,2579.65
2025,967,2025-01-30,96.43
2025,1097,2025-01-30,11746
2025,1020,2025-01-30,5613.44
2025,970,2025-01-30,251.79
2025,1085,2025-01-30,4743.25
2025,940,2025-01-30,456.53
2025,1086,2025-01-30,81545.95
2025,1119,2025-01-31,182.14
2025,225,2025-01-02,213307.44
2025,1089,2025-01-30,34138.56
2025,1103,2025-01-30,18459.79
2025,1096,2025-01-30,4668.89
2025,133,2025-01-02,2350.95
2025,961,2025-01-30,1041.01
2025,974,2025-01-30,353.57
2025,228,2025-01-02,210000
2025,1084,2025-01-30,20488.5
2025,1098,2025-01-30,12346.53
2025,773,2025-01-21,4268
2025,957,2025-01-30,482.15
2025,975,2025-01-30,96.43
2025,949,2025-01-30,96.43
2025,953,2025-01-30,96.43
2025,979,2025-01-30,278.57
2025,1090,2025-01-30,7019.05
2025,946,2025-01-30,96.43
2025,945,2025-01-30,685.71
2025,1032,2025-01-30,2598.1
2025,1016,2025-01-30,5759.29
2025,936,2025-01-30,503.57
2025,1035,2025-01-30,792.84
2025,1093,2025-01-30,14416.53
2025,968,2025-01-30,489.07
2025,1094,2025-01-30,3801.05
2025,1091,2025-01-30,4152.19
2025,1021,2025-01-30,5306.99
2025,1272,2025-02-10,5858.04
2025,1583,2025-02-24,18610.76
2025,1187,2025-02-05,661.88
2025,2035,2025-03-10,58157.8
2025,4082,2025-06-16,150000
2025,8025,2025-12-17,30050.81
