anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,20,2025-02-11,22817.25
2025,48,2025-07-14,130000
2025,45,2025-07-08,550000
2025,76,2025-09-12,290000
2025,101,2025-10-30,13500
2025,81,2025-10-10,12500
2025,108,2025-10-31,8000
2025,116,2025-11-21,15000
2025,118,2025-11-21,4000
2025,120,2025-11-21,2000
2025,122,2025-11-21,2500
2025,123,2025-11-21,3000
2025,119,2025-11-21,3000
2025,121,2025-11-21,3000
2025,135,2025-12-05,5000
2025,137,2025-12-05,5000
2025,145,2025-12-11,68202.18
2025,139,2025-12-05,5000
2025,147,2025-12-17,10475
2025,141,2025-12-08,46743
2025,131,2025-12-05,6965
2025,133,2025-12-05,5000
2025,148,2025-12-17,2000
2025,140,2025-12-05,62850
2025,146,2025-12-11,8000
2025,149,2025-12-17,2500
2025,134,2025-12-05,6000
2025,127,2025-12-03,12085.75
2025,142,2025-12-09,5195.6
2025,144,2025-12-11,5914.65
2025,136,2025-12-05,5000
2025,129,2025-12-05,13500
2025,130,2025-12-05,19370
2025,132,2025-12-05,5000
2025,138,2025-12-05,5000
2025,126,2025-12-01,32850
