anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,17,2025-01-02,50000
2025,866,2025-01-30,39.9
2025,308,2025-01-09,39.9
2025,634,2025-01-22,1500
2025,698,2025-01-27,39.9
2025,307,2025-01-09,39.9
2025,624,2025-01-22,1500
2025,24,2025-01-02,75000
2025,699,2025-01-27,39.9
2025,805,2025-01-30,39.9
2025,383,2025-01-14,1811.61
2025,1553,2025-02-28,25644.82
2025,1195,2025-02-20,39.9
2025,1321,2025-02-24,41.79
2025,1052,2025-02-10,39.9
2025,1289,2025-02-21,54.5
2025,891,2025-02-03,39.9
2025,1139,2025-02-17,39.9
2025,998,2025-02-06,39.9
2025,1362,2025-02-25,719.45
2025,1330,2025-02-24,71
2025,1196,2025-02-20,39.9
2025,1140,2025-02-17,39.9
2025,999,2025-02-06,39.9
2025,890,2025-02-03,39.9
2025,1240,2025-02-20,1000
2025,1604,2025-03-06,39.9
2025,1758,2025-03-14,39.9
2025,1657,2025-03-10,39.9
2025,1603,2025-03-06,39.9
2025,1819,2025-03-20,39.9
2025,1818,2025-03-20,39.9
2025,1757,2025-03-14,39.9
2025,1648,2025-03-07,39.9
2025,1656,2025-03-10,39.9
2025,1649,2025-03-07,39.9
2025,2280,2025-04-11,39.9
2025,2226,2025-04-07,2000
2025,2369,2025-04-17,39.9
2025,2451,2025-04-28,39.9
2025,2144,2025-04-02,39.9
2025,2371,2025-04-17,39.9
2025,2279,2025-04-11,39.9
2025,2259,2025-04-09,39.9
2025,2338,2025-04-16,39.9
2025,2176,2025-04-04,39.9
2025,2372,2025-04-17,39.9
2025,2337,2025-04-16,39.9
2025,2153,2025-04-03,39.9
2025,2320,2025-04-14,39.9
2025,2175,2025-04-04,39.9
2025,2145,2025-04-02,39.9
2025,2319,2025-04-14,39.9
2025,2426,2025-04-25,39.9
2025,2258,2025-04-09,39.9
2025,2450,2025-04-28,39.9
2025,2152,2025-04-03,39.9
2025,2370,2025-04-17,39.9
2025,2425,2025-04-25,39.9
2025,2874,2025-05-19,39.9
2025,2706,2025-05-06,325.7
2025,3137,2025-05-30,39.9
2025,2688,2025-05-06,399.98
2025,2861,2025-05-19,39.9
2025,2986,2025-05-27,39.9
2025,2985,2025-05-27,39.9
2025,3164,2025-06-03,39.9
2025,3381,2025-06-18,226.85
2025,3163,2025-06-03,39.9
2025,3193,2025-06-04,39.9
2025,3192,2025-06-04,39.9
2025,3185,2025-06-04,275.91
2025,3833,2025-07-10,39.9
2025,4221,2025-07-31,39.9
2025,4219,2025-07-31,39.9
2025,3832,2025-07-10,39.9
2025,3834,2025-07-10,39.9
2025,4021,2025-07-24,39.9
2025,3994,2025-07-21,39.9
2025,3965,2025-07-18,200
2025,3989,2025-07-21,39.9
2025,3991,2025-07-21,39.9
2025,4049,2025-07-28,3184.31
2025,3993,2025-07-21,39.9
2025,3992,2025-07-21,39.9
2025,4220,2025-07-31,39.9
2025,3968,2025-07-18,300
2025,4090,2025-07-29,600
2025,3990,2025-07-21,39.9
2025,4448,2025-08-15,39.9
2025,4595,2025-08-25,39.9
2025,4449,2025-08-15,39.9
2025,4556,2025-08-21,39.9
2025,4596,2025-08-25,39.9
2025,4373,2025-08-12,39.9
2025,4554,2025-08-21,39.9
2025,4629,2025-08-27,39.9
2025,4594,2025-08-25,39.9
2025,4484,2025-08-19,39.9
2025,4450,2025-08-15,39.9
2025,4483,2025-08-19,39.9
2025,4616,2025-08-27,39.9
2025,4419,2025-08-13,39.9
2025,4485,2025-08-19,39.9
2025,4555,2025-08-21,39.9
2025,4615,2025-08-27,39.9
2025,5105,2025-09-22,60
2025,5240,2025-09-29,70
2025,5106,2025-09-22,60
2025,4888,2025-09-09,307.75
2025,5104,2025-09-22,60
2025,4889,2025-09-09,307.75
2025,5404,2025-10-09,60
2025,5552,2025-10-17,60
2025,5810,2025-10-30,60
2025,5553,2025-10-17,60
2025,5403,2025-10-09,60
2025,5528,2025-10-16,60
2025,5502,2025-10-15,3000
2025,5670,2025-10-24,60
2025,5392,2025-10-08,60
2025,5554,2025-10-17,60
2025,6008,2025-10-30,60
2025,5317,2025-10-02,60
2025,5391,2025-10-08,60
2025,5672,2025-10-24,60
2025,5316,2025-10-02,60
2025,5976,2025-10-30,70
2025,5377,2025-10-07,120
2025,5809,2025-10-30,60
2025,5318,2025-10-02,60
2025,5671,2025-10-24,60
2025,5529,2025-10-16,60
2025,5527,2025-10-16,60
2025,6194,2025-11-12,60
2025,6143,2025-11-10,60
2025,6196,2025-11-12,60
2025,6279,2025-11-19,300
2025,6142,2025-11-10,60
2025,6442,2025-11-27,70
2025,6144,2025-11-10,60
2025,6219,2025-11-14,60
2025,6218,2025-11-14,60
2025,6195,2025-11-12,60
2025,6220,2025-11-14,60
2025,6708,2025-12-17,60
2025,6649,2025-12-11,464
2025,6586,2025-12-09,60
2025,6709,2025-12-17,60
2025,6821,2025-12-18,70
2025,6707,2025-12-17,60
2025,6587,2025-12-09,60
2025,6674,2025-12-15,60
2025,6673,2025-12-15,60
