anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,253,2026-01-15,115151.11
2026,125,2026-01-05,3195
2026,76,2026-01-02,1150
2026,259,2026-01-15,22188.9
2026,179,2026-01-12,5535.59
2026,154,2026-01-08,875239.4
2026,69,2026-01-02,73364.78
2026,68,2026-01-02,186203.6
2026,1159,2026-02-11,73282
2026,1158,2026-02-11,90750
2026,1067,2026-02-05,64252.8
2026,2129,2026-03-30,2328
2026,1784,2026-03-12,26000
2026,1783,2026-03-12,800000
2026,2337,2026-04-08,3000
2026,2336,2026-04-08,646
2026,2338,2026-04-08,1530
2026,2342,2026-04-08,2292
2026,2340,2026-04-08,13950
2026,2333,2026-04-08,1060
2026,2332,2026-04-08,5438
2026,2279,2026-04-06,245000
2026,2328,2026-04-08,3402
2026,2339,2026-04-08,3160
2026,2335,2026-04-08,1938
2026,2341,2026-04-08,6120
