anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,176,2024-01-02,22971.6
2024,175,2024-01-02,20635.68
2024,173,2024-01-02,19366.74
2024,964,2024-01-30,100
2024,850,2024-01-26,970.99
2024,606,2024-01-08,30435.91
2024,383,2024-01-03,5000
2024,174,2024-01-02,50000
2024,970,2024-01-30,10000
2024,172,2024-01-02,24523.14
2024,171,2024-01-02,32148.4
2024,336,2024-01-03,30000
2024,1157,2024-02-05,104.13
2024,1731,2024-02-29,21135.46
2024,1448,2024-02-21,20635.68
2024,1159,2024-02-05,104.13
2024,1156,2024-02-05,104.13
2024,2010,2024-03-13,4131.3
2024,1775,2024-03-01,102.04
2024,2613,2024-04-10,298.74
2024,2949,2024-04-25,235.5
2024,3414,2024-05-13,416.91
2024,3229,2024-05-02,905.13
2024,3413,2024-05-13,655.83
2024,4162,2024-06-18,4055.81
2024,4034,2024-06-13,39889.68
2024,4035,2024-06-13,25356.9
2024,5029,2024-07-23,4277.09
2024,4708,2024-07-03,4429.31
2024,4767,2024-07-08,102.58
2024,5798,2024-08-26,17340
2024,6431,2024-09-17,156.19
2024,6871,2024-10-07,50000
2024,7129,2024-10-24,298.74
2024,7808,2024-11-21,800
2024,8194,2024-12-02,6648.28
2024,8195,2024-12-02,4226.15
2024,8471,2024-12-17,12606.67
