anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,281,2026-01-16,300000
2026,291,2026-01-16,62321.05
2026,979,2026-02-05,7797.55
2026,962,2026-02-05,18634.91
2026,966,2026-02-05,19493.88
2026,1267,2026-02-19,51902.32
2026,1467,2026-02-25,270000
2026,972,2026-02-05,40562.26
2026,976,2026-02-05,16224.9
2026,1271,2026-02-19,20760.93
2026,1930,2026-03-19,65287.19
2026,2099,2026-03-27,2135
2026,1760,2026-03-11,5677
2026,2065,2026-03-26,270000
2026,2426,2026-04-16,8666.5
2026,2236,2026-04-01,254250
