anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1437,2025-02-17,79.79
2025,1301,2025-02-12,79.79
2025,1436,2025-02-17,604.1
2025,1486,2025-02-19,79.79
2025,1477,2025-02-18,341.94
2025,1300,2025-02-12,170.97
2025,1488,2025-02-19,79.79
2025,1783,2025-02-27,260.04
2025,2477,2025-03-28,260.04
2025,3104,2025-04-29,260.04
2025,3778,2025-05-29,260.04
2025,4593,2025-06-26,260.04
2025,5558,2025-08-18,11450
2025,5869,2025-08-28,273.57
2025,6101,2025-09-05,104.13
2025,6595,2025-09-29,1800.41
2025,6261,2025-09-15,104.13
2025,7174,2025-10-30,1036.99
2025,7680,2025-11-27,1036.99
2025,7799,2025-12-01,2473.2
2025,8163,2025-12-18,763.42
2025,7881,2025-12-09,3297.6
2025,7801,2025-12-01,2473.2
2025,7798,2025-12-01,2473.2
2025,7800,2025-12-01,2473.2
