anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,1032,2023-01-31,84379.2
2023,259,2023-01-02,227192.33
2023,497,2023-01-13,69840
2023,238,2023-01-02,6860
2023,248,2023-01-02,22250.76
2023,496,2023-01-13,48270
2023,498,2023-01-13,33000
2023,222,2023-01-02,2880
2023,1619,2023-03-03,42000
2023,2332,2023-04-10,13700
2023,3378,2023-05-26,387.53
2023,3329,2023-05-25,24379.55
2023,3328,2023-05-25,483960
2023,4712,2023-07-19,374
2023,5917,2023-09-18,33000
2023,5916,2023-09-18,69840
2023,5915,2023-09-18,48270
2023,6392,2023-10-09,4598.64
