anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,920,2023-01-30,131923.7
2023,1463,2023-02-27,4455.41
2023,1458,2023-02-27,144202.29
2023,1454,2023-02-27,480.45
2023,2093,2023-03-30,138575.49
2023,2768,2023-04-27,143850.89
2023,3429,2023-05-31,231723.63
2023,4170,2023-06-29,157954.88
2023,4826,2023-07-27,158711.94
2023,4409,2023-07-06,77136.77
2023,5501,2023-08-30,158426
2023,6142,2023-09-28,158049.93
2023,6717,2023-10-27,156417.38
2023,7408,2023-11-29,158788.65
2023,7965,2023-12-22,212280.53
2023,7645,2023-12-07,74182.78
2023,7897,2023-12-21,50735.98
2023,7961,2023-12-22,43185.89
