anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,787,2024-01-24,7268
2024,789,2024-01-24,2776
2024,788,2024-01-24,60124
2024,1457,2024-02-22,42094
2024,1412,2024-02-20,885
2024,1410,2024-02-20,4630
2024,1458,2024-02-22,250000
2024,2049,2024-03-15,173550
2024,2773,2024-04-18,86775
2024,2921,2024-04-24,4199.7
2024,2470,2024-04-02,4050
2024,2660,2024-04-12,8700
2024,2774,2024-04-18,86775
2024,3256,2024-05-03,86775
2024,3583,2024-05-24,2516.5
2024,3582,2024-05-24,2776
2024,3465,2024-05-17,1725
2024,4292,2024-06-25,1916
2024,4228,2024-06-21,3890
2024,4937,2024-07-18,23340
2024,5785,2024-08-26,6495
2024,7083,2024-10-22,5596
2024,7095,2024-10-22,1298.85
2024,7086,2024-10-22,3725
2024,7088,2024-10-22,9798
2024,7072,2024-10-22,1644.8
2024,7565,2024-11-07,3439
2024,7723,2024-11-14,34900
2024,7510,2024-11-05,3890
