anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,91,2023-01-02,13227.24
2023,96,2023-01-02,1920000
2023,188,2023-01-02,3360000
2023,89,2023-01-02,861114.84
2023,1020,2023-01-30,18.1
2023,164,2023-01-02,80000
2023,166,2023-01-02,4875000
2023,33,2023-01-02,18500
2023,757,2023-01-24,812500
2023,94,2023-01-02,558010.68
2023,86,2023-01-02,290000
2023,1563,2023-02-28,79490.21
2023,1564,2023-02-28,91735.4
2023,1586,2023-03-01,91735.4
2023,1581,2023-03-01,91735.1
2023,2033,2023-03-28,79788.56
2023,1592,2023-03-01,79281.16
2023,2507,2023-04-17,91735.4
2023,2416,2023-04-13,80001.65
2023,2501,2023-04-17,79281.16
2023,2504,2023-04-17,91735.1
2023,2280,2023-04-04,91735.4
2023,3123,2023-05-16,80217.1
2023,3546,2023-05-31,91735.4
2023,2840,2023-05-02,91735.4
2023,3802,2023-06-14,80483.74
2023,4176,2023-06-29,91735.4
2023,4659,2023-07-14,8358.84
2023,4660,2023-07-14,68.81
2023,4984,2023-07-31,91735.4
2023,4657,2023-07-14,80790.98
2023,4658,2023-07-14,8358.84
2023,4997,2023-08-01,1275141.4
2023,5310,2023-08-16,8358.84
2023,5274,2023-08-14,59076
2023,5309,2023-08-16,81044.52
2023,5608,2023-08-30,91735.4
2023,5311,2023-08-16,110.9
2023,5184,2023-08-09,406250
2023,5652,2023-09-01,398137.26
2023,6254,2023-09-28,91735.4
2023,5875,2023-09-14,145.98
2023,5871,2023-09-14,81330.39
2023,5874,2023-09-14,8358.84
2023,5891,2023-09-15,330826.05
2023,6549,2023-10-18,406250
2023,6483,2023-10-13,8529.94
2023,6829,2023-10-30,91735.4
2023,6482,2023-10-13,81527.98
2023,7072,2023-11-13,8358.84
2023,7081,2023-11-13,67227.89
2023,7268,2023-11-22,10000
2023,7510,2023-11-29,983.59
2023,7073,2023-11-13,200.14
2023,7364,2023-11-28,91735.4
2023,7142,2023-11-17,12000
2023,7761,2023-12-14,2437500
2023,7768,2023-12-15,8358.84
2023,7568,2023-12-01,406250
2023,7769,2023-12-15,226.87
2023,8061,2023-12-22,91735.4
2023,7767,2023-12-15,81952.21
